"","codigo_comuna","nombre_comuna","Tipo de zona","n_estudiantes","promedio"
"1",1101,"IQUIQUE","Rural",341,5.4
"2",1101,"IQUIQUE","Urbano",15308,5.6
"3",1107,"ALTO HOSPICIO","Rural",2577,5.7
"4",1107,"ALTO HOSPICIO","Urbano",8529,5.6
"5",1401,"POZO ALMONTE","Rural",1395,5.7
"6",1402,"CAMIÑA","Rural",126,5.8
"7",1403,"COLCHANE","Rural",85,5.6
"8",1404,"HUARA","Rural",229,5.6
"9",1405,"PICA","Rural",580,5.5
"10",2101,"ANTOFAGASTA","Urbano",27951,5.7
"11",2102,"MEJILLONES","Rural",14,5.7
"12",2102,"MEJILLONES","Urbano",1134,5.4
"13",2103,"SIERRA GORDA","Urbano",145,5.9
"14",2104,"TALTAL","Rural",27,4.9
"15",2104,"TALTAL","Urbano",929,5.5
"16",2201,"CALAMA","Rural",88,5.7
"17",2201,"CALAMA","Urbano",13917,5.7
"18",2202,"OLLAGÜE","Rural",24,6.1
"19",2203,"SAN PEDRO DE ATACAMA","Rural",158,6
"20",2203,"SAN PEDRO DE ATACAMA","Urbano",561,5.9
"21",2301,"TOCOPILLA","Urbano",2152,5.7
"22",2302,"MARÍA ELENA","Rural",26,5.1
"23",2302,"MARÍA ELENA","Urbano",331,5.4
"24",3101,"COPIAPÓ","Rural",140,5.6
"25",3101,"COPIAPÓ","Urbano",13140,5.7
"26",3102,"CALDERA","Rural",10,5.2
"27",3102,"CALDERA","Urbano",1494,5.8
"28",3103,"TIERRA AMARILLA","Rural",106,5.3
"29",3103,"TIERRA AMARILLA","Urbano",805,5.4
"30",3201,"CHAÑARAL","Urbano",1045,5.8
"31",3202,"DIEGO DE ALMAGRO","Rural",23,5.6
"32",3202,"DIEGO DE ALMAGRO","Urbano",1169,5.6
"33",3301,"VALLENAR","Rural",165,5.7
"34",3301,"VALLENAR","Urbano",4114,5.7
"35",3302,"ALTO DEL CARMEN","Rural",342,5.9
"36",3303,"FREIRINA","Rural",98,5.7
"37",3303,"FREIRINA","Urbano",502,5.9
"38",3304,"HUASCO","Rural",34,5.3
"39",3304,"HUASCO","Urbano",838,5.6
"40",4101,"LA SERENA","Rural",1003,5.5
"41",4101,"LA SERENA","Urbano",19767,5.6
"42",4102,"COQUIMBO","Rural",656,5.6
"43",4102,"COQUIMBO","Urbano",16607,5.7
"44",4103,"ANDACOLLO","Rural",178,6.1
"45",4103,"ANDACOLLO","Urbano",669,6
"46",4104,"LA HIGUERA","Rural",222,5.4
"47",4104,"LA HIGUERA","Urbano",136,5.3
"48",4105,"PAIGUANO","Rural",162,5.8
"49",4105,"PAIGUANO","Urbano",168,6
"50",4106,"VICUÑA","Rural",205,6
"51",4106,"VICUÑA","Urbano",2012,5.7
"52",4201,"ILLAPEL","Rural",605,6
"53",4201,"ILLAPEL","Urbano",1782,5.8
"54",4202,"CANELA","Rural",249,5.9
"55",4202,"CANELA","Urbano",313,5.7
"56",4203,"LOS VILOS","Rural",400,5.7
