codigo_comuna,nombre_comuna,ambito,n_denuncias
13101,SANTIAGO,ADMISIÓN,2
13101,SANTIAGO,CONVIVENCIA,63
13101,SANTIAGO,GESTIÓN TÉCNICO-ADMINISTRATIVA,18
13101,SANTIAGO,INFRAESTRUCTURA,2
13101,SANTIAGO,SEGURIDAD E HIGIENE,3
13102,CERRILLOS,CONVIVENCIA,4
13103,CERRO NAVIA,CONVIVENCIA,5
13104,CONCHALÍ,CONVIVENCIA,6
13105,EL BOSQUE,CONVIVENCIA,9
13105,EL BOSQUE,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
13105,EL BOSQUE,SEGURIDAD E HIGIENE,1
13106,ESTACIÓN CENTRAL,ADMISIÓN,2
13106,ESTACIÓN CENTRAL,CONVIVENCIA,5
13106,ESTACIÓN CENTRAL,GESTIÓN DE RECURSOS FINANCIEROS,1
13106,ESTACIÓN CENTRAL,INFRAESTRUCTURA,1
13106,ESTACIÓN CENTRAL,SEGURIDAD E HIGIENE,2
13107,HUECHURABA,CONVIVENCIA,2
13108,INDEPENDENCIA,CONVIVENCIA,11
13108,INDEPENDENCIA,SEGURIDAD E HIGIENE,1
13109,LA CISTERNA,CONVIVENCIA,11
13109,LA CISTERNA,GESTIÓN DE RECURSOS FINANCIEROS,1
13109,LA CISTERNA,GESTIÓN TÉCNICO-ADMINISTRATIVA,2
13110,LA FLORIDA,CONVIVENCIA,35
13110,LA FLORIDA,GESTIÓN TÉCNICO-ADMINISTRATIVA,5
13110,LA FLORIDA,GESTIÓN TÉCNICO-PEDAGÓGICA,2
13110,LA FLORIDA,INFRAESTRUCTURA,2
13110,LA FLORIDA,SEGURIDAD E HIGIENE,1
13111,LA GRANJA,CONVIVENCIA,3
13112,LA PINTANA,CONVIVENCIA,8
13112,LA PINTANA,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
13112,LA PINTANA,SEGURIDAD E HIGIENE,1
13113,LA REINA,CONVIVENCIA,7
13114,LAS CONDES,ADMISIÓN,1
13114,LAS CONDES,CONVIVENCIA,12
13114,LAS CONDES,GESTIÓN DE RECURSOS FINANCIEROS,1
13114,LAS CONDES,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
13114,LAS CONDES,GESTIÓN TÉCNICO-PEDAGÓGICA,9
13114,LAS CONDES,"MOBILIARIO, EQUIPAMIENTO, MATERIAL DIDÁCTICO Y ELEMENTOS DE ENSEÑANZA",1
13115,LO BARNECHEA,CONVIVENCIA,4
13116,LO ESPEJO,CONVIVENCIA,1
13117,LO PRADO,CONVIVENCIA,4
13118,MACUL,CONVIVENCIA,4
13118,MACUL,INFRAESTRUCTURA,1
13119,MAIPÚ,ADMISIÓN,1
13119,MAIPÚ,CONVIVENCIA,46
13119,MAIPÚ,GESTIÓN DE RECURSOS FINANCIEROS,3
13119,MAIPÚ,GESTIÓN TÉCNICO-ADMINISTRATIVA,2
13119,MAIPÚ,GESTIÓN TÉCNICO-PEDAGÓGICA,2
13119,MAIPÚ,"MOBILIARIO, EQUIPAMIENTO, MATERIAL DIDÁCTICO Y ELEMENTOS DE ENSEÑANZA",1
13119,MAIPÚ,OTRO,1
13120,ÑUÑOA,CONVIVENCIA,21
13120,ÑUÑOA,GESTIÓN DE RECURSOS FINANCIEROS,1
13120,ÑUÑOA,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
13120,ÑUÑOA,GESTIÓN TÉCNICO-PEDAGÓGICA,1
13121,PEDRO AGUIRRE CERDA,CONVIVENCIA,4
13121,PEDRO AGUIRRE CERDA,GESTIÓN DE RECURSOS FINANCIEROS,1
13122,PEÑALOLÉN,CONVIVENCIA,4
13122,PEÑALOLÉN,GESTIÓN DE RECURSOS FINANCIEROS,1
13123,PROVIDENCIA,ADMISIÓN,2
13123,PROVIDENCIA,CONVIVENCIA,14
13123,PROVIDENCIA,GESTIÓN TÉCNICO-PEDAGÓGICA,2
13123,PROVIDENCIA,SEGURIDAD E HIGIENE,1
13124,PUDAHUEL,CONVIVENCIA,8
13124,PUDAHUEL,INFRAESTRUCTURA,1
13125,QUILICURA,ADMISIÓN,1
13125,QUILICURA,CONVIVENCIA,10
13126,QUINTA NORMAL,CONVIVENCIA,5
13126,QUINTA NORMAL,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
13127,RECOLETA,CONVIVENCIA,14
13128,RENCA,CONVIVENCIA,7
13128,RENCA,GESTIÓN DE RECURSOS FINANCIEROS,1
13128,RENCA,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
13128,RENCA,GESTIÓN TÉCNICO-PEDAGÓGICA,1
13129,SAN JOAQUÍN,CONVIVENCIA,2
13130,SAN MIGUEL,CONVIVENCIA,15
13130,SAN MIGUEL,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
13130,SAN MIGUEL,INFRAESTRUCTURA,1
13130,SAN MIGUEL,"MOBILIARIO, EQUIPAMIENTO, MATERIAL DIDÁCTICO Y ELEMENTOS DE ENSEÑANZA",1
13131,SAN RAMÓN,ADMISIÓN,1
13132,VITACURA,CONVIVENCIA,2
13132,VITACURA,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
13132,VITACURA,SEGURIDAD E HIGIENE,1
