codigo_comuna,nombre_comuna,ambito,n_denuncias
1101,IQUIQUE,ADMISIÓN,1
1101,IQUIQUE,CONVIVENCIA,32
1101,IQUIQUE,GESTIÓN TÉCNICO-PEDAGÓGICA,4
1107,ALTO HOSPICIO,CONVIVENCIA,14
1107,ALTO HOSPICIO,GESTIÓN TÉCNICO-PEDAGÓGICA,1
1401,POZO ALMONTE,SEGURIDAD E HIGIENE,1
2101,ANTOFAGASTA,ADMISIÓN,1
2101,ANTOFAGASTA,CONVIVENCIA,26
2101,ANTOFAGASTA,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
2101,ANTOFAGASTA,GESTIÓN TÉCNICO-PEDAGÓGICA,1
2101,ANTOFAGASTA,INFRAESTRUCTURA,1
2101,ANTOFAGASTA,SEGURIDAD E HIGIENE,2
2104,TALTAL,CONVIVENCIA,1
2201,CALAMA,CONVIVENCIA,12
2201,CALAMA,GESTIÓN TÉCNICO-PEDAGÓGICA,1
2301,TOCOPILLA,CONVIVENCIA,5
2301,TOCOPILLA,GESTIÓN TÉCNICO-PEDAGÓGICA,1
3101,COPIAPÓ,CONVIVENCIA,19
3102,CALDERA,CONVIVENCIA,1
3201,CHAÑARAL,CONVIVENCIA,3
3301,VALLENAR,CONVIVENCIA,6
3302,ALTO DEL CARMEN,CONVIVENCIA,2
3303,FREIRINA,"MOBILIARIO, EQUIPAMIENTO, MATERIAL DIDÁCTICO Y ELEMENTOS DE ENSEÑANZA",1
3304,HUASCO,CONVIVENCIA,1
4101,LA SERENA,CONVIVENCIA,29
4101,LA SERENA,GESTIÓN TÉCNICO-PEDAGÓGICA,2
4101,LA SERENA,INFRAESTRUCTURA,2
4102,COQUIMBO,CONVIVENCIA,18
4102,COQUIMBO,GESTIÓN DE RECURSOS FINANCIEROS,1
4102,COQUIMBO,INFRAESTRUCTURA,1
4103,ANDACOLLO,CONVIVENCIA,1
4106,VICUÑA,CONVIVENCIA,1
4201,ILLAPEL,CONVIVENCIA,1
4203,LOS VILOS,CONVIVENCIA,1
4301,OVALLE,CONVIVENCIA,5
4301,OVALLE,GESTIÓN TÉCNICO-PEDAGÓGICA,1
4303,MONTE PATRIA,CONVIVENCIA,1
5101,VALPARAÍSO,CONVIVENCIA,26
5101,VALPARAÍSO,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
5101,VALPARAÍSO,SEGURIDAD E HIGIENE,1
5102,CASABLANCA,CONVIVENCIA,2
5103,CONCÓN,CONVIVENCIA,2
5104,JUAN FERNÁNDEZ,CONVIVENCIA,1
5105,PUCHUNCAVÍ,CONVIVENCIA,1
5107,QUINTERO,CONVIVENCIA,4
5109,VIÑA DEL MAR,CONVIVENCIA,38
5109,VIÑA DEL MAR,GESTIÓN TÉCNICO-PEDAGÓGICA,3
5109,VIÑA DEL MAR,SEGURIDAD E HIGIENE,1
5301,LOS ANDES,CONVIVENCIA,1
5301,LOS ANDES,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
5302,CALLE LARGA,CONVIVENCIA,1
5401,LA LIGUA,CONVIVENCIA,3
5402,CABILDO,CONVIVENCIA,1
5404,PETORCA,CONVIVENCIA,1
5405,ZAPALLAR,CONVIVENCIA,1
5501,QUILLOTA,CONVIVENCIA,9
5501,QUILLOTA,GESTIÓN TÉCNICO-PEDAGÓGICA,4
5503,HIJUELAS,CONVIVENCIA,2
5504,LA CRUZ,CONVIVENCIA,2
5506,NOGALES,CONVIVENCIA,2
5601,SAN ANTONIO,CONVIVENCIA,6
5602,ALGARROBO,CONVIVENCIA,1
5602,ALGARROBO,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
5603,CARTAGENA,CONVIVENCIA,1
5604,EL QUISCO,CONVIVENCIA,2
5701,SAN FELIPE,CONVIVENCIA,11
5701,SAN FELIPE,GESTIÓN TÉCNICO-PEDAGÓGICA,1
5702,CATEMU,CONVIVENCIA,1
5703,LLAILLAY,GESTIÓN TÉCNICO-PEDAGÓGICA,1
5801,QUILPUÉ,ADMISIÓN,1
5801,QUILPUÉ,CONVIVENCIA,18
5801,QUILPUÉ,ENTREGA DEL SERVICIO EDUCATIVO EN EMERGENCIA SANITARIA POR COVID-2019,1
5801,QUILPUÉ,GESTIÓN DE RECURSOS FINANCIEROS,1
5801,QUILPUÉ,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
5801,QUILPUÉ,GESTIÓN TÉCNICO-PEDAGÓGICA,2
5801,QUILPUÉ,INFRAESTRUCTURA,2
5801,QUILPUÉ,SEGURIDAD E HIGIENE,3
5802,LIMACHE,CONVIVENCIA,2
5803,OLMUÉ,CONVIVENCIA,1
5804,VILLA ALEMANA,CONVIVENCIA,9
5804,VILLA ALEMANA,GESTIÓN TÉCNICO-PEDAGÓGICA,1
5804,VILLA ALEMANA,SEGURIDAD E HIGIENE,1
6101,RANCAGUA,CONVIVENCIA,13
6101,RANCAGUA,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
6101,RANCAGUA,GESTIÓN TÉCNICO-PEDAGÓGICA,1
6101,RANCAGUA,INFRAESTRUCTURA,1
6101,RANCAGUA,SEGURIDAD E HIGIENE,1
6104,COLTAUCO,CONVIVENCIA,1
6108,MACHALÍ,CONVIVENCIA,2
6112,PEUMO,CONVIVENCIA,1
6114,QUINTA DE TILCOCO,CONVIVENCIA,1
6115,RENGO,CONVIVENCIA,6
6115,RENGO,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
6116,REQUÍNOA,CONVIVENCIA,1
6117,SAN VICENTE,CONVIVENCIA,2
6203,LITUECHE,ADMISIÓN,1
6301,SAN FERNANDO,CONVIVENCIA,7
6303,CHIMBARONGO,ADMISIÓN,1
6303,CHIMBARONGO,CONVIVENCIA,2
7101,TALCA,CONVIVENCIA,26
7101,TALCA,GESTIÓN TÉCNICO-PEDAGÓGICA,1
7101,TALCA,INFRAESTRUCTURA,1
7102,CONSTITUCIÓN,CONVIVENCIA,2
7105,MAULE,CONVIVENCIA,2
7201,CAUQUENES,CONVIVENCIA,1
7203,PELLUHUE,CONVIVENCIA,1
7301,CURICÓ,CONVIVENCIA,5
7301,CURICÓ,GESTIÓN TÉCNICO-PEDAGÓGICA,1
7301,CURICÓ,INFRAESTRUCTURA,1
7304,MOLINA,CONVIVENCIA,3
7304,MOLINA,SEGURIDAD E HIGIENE,1
7306,ROMERAL,CONVIVENCIA,1
7401,LINARES,CONVIVENCIA,6
7404,PARRAL,CONVIVENCIA,2
7405,RETIRO,CONVIVENCIA,1
7406,SAN JAVIER,CONVIVENCIA,1
8101,CONCEPCIÓN,ADMISIÓN,1
8101,CONCEPCIÓN,CONVIVENCIA,25
8101,CONCEPCIÓN,GESTIÓN TÉCNICO-PEDAGÓGICA,2
8101,CONCEPCIÓN,SEGURIDAD E HIGIENE,2
8102,CORONEL,CONVIVENCIA,27
8102,CORONEL,ENTREGA DEL SERVICIO EDUCATIVO EN EMERGENCIA SANITARIA POR COVID-2019,1
8102,CORONEL,SEGURIDAD E HIGIENE,1
8103,CHIGUAYANTE,CONVIVENCIA,5
8103,CHIGUAYANTE,SEGURIDAD E HIGIENE,1
8104,FLORIDA,CONVIVENCIA,2
8105,HUALQUI,CONVIVENCIA,1
8106,LOTA,CONVIVENCIA,4
8107,PENCO,CONVIVENCIA,1
