"codigo_comuna","nombre_comuna","TipoEstablecimiento","n_estudiantes","promedio"
13101,"SANTIAGO","Municipal",7555,56.0144275314361
13101,"SANTIAGO","Particular Pagado",3485,61.1982783357245
13101,"SANTIAGO","Particular Subvencionado",11467,56.866224819046
13102,"CERRILLOS","Municipal",1666,53.8979591836735
13102,"CERRILLOS","Particular Subvencionado",3132,55.3591954022989
13103,"CERRO NAVIA","Particular Subvencionado",4463,54.8720591530361
13103,"CERRO NAVIA","Servicio Local de Educación",2907,53.3839009287925
13104,"CONCHALÍ","Municipal",3685,54.0838534599728
13104,"CONCHALÍ","Particular Pagado",130,55.0307692307692
13104,"CONCHALÍ","Particular Subvencionado",5689,55.1147829143962
13105,"EL BOSQUE","Municipal",3024,52.5284391534392
13105,"EL BOSQUE","Particular Pagado",252,59.6190476190476
13105,"EL BOSQUE","Particular Subvencionado",10955,55.0871748060247
13106,"ESTACIÓN CENTRAL","Municipal",3903,54.0842941327184
13106,"ESTACIÓN CENTRAL","Particular Pagado",722,58.0207756232687
13106,"ESTACIÓN CENTRAL","Particular Subvencionado",5562,55.9029126213592
13107,"HUECHURABA","Municipal",1515,54.3986798679868
13107,"HUECHURABA","Particular Pagado",2767,60.464040477051
13107,"HUECHURABA","Particular Subvencionado",1796,54.1481069042316
13108,"INDEPENDENCIA","Municipal",2306,57.673894189072
13108,"INDEPENDENCIA","Particular Pagado",415,59.2530120481928
13108,"INDEPENDENCIA","Particular Subvencionado",4733,54.8030847242764
13109,"LA CISTERNA","Municipal",1152,55.703125
13109,"LA CISTERNA","Particular Pagado",330,58.2757575757576
13109,"LA CISTERNA","Particular Subvencionado",7244,56.5070403092215
13110,"LA FLORIDA","Municipal",4660,53.5083690987125
13110,"LA FLORIDA","Particular Pagado",3210,60.2109034267913
13110,"LA FLORIDA","Particular Subvencionado",21081,55.6792372278356
13111,"LA GRANJA","Particular Subvencionado",5497,55.1702746952883
13111,"LA GRANJA","Servicio Local de Educación",2395,53.0617954070981
13112,"LA PINTANA","Municipal",2110,51.8895734597157
13112,"LA PINTANA","Particular Subvencionado",11532,53.7057752341311
13113,"LA REINA","Municipal",1450,53.9434482758621
13113,"LA REINA","Particular Pagado",4686,61.2868117797695
13113,"LA REINA","Particular Subvencionado",2744,55.4613702623907
13114,"LAS CONDES","Municipal",1640,55.5621951219513
13114,"LAS CONDES","Particular Pagado",10562,60.9446127627343
13114,"LAS CONDES","Particular Subvencionado",1974,56.693009118541
13115,"LO BARNECHEA","Municipal",482,53.6929460580913
13115,"LO BARNECHEA","Particular Pagado",6030,61.1499170812604
13115,"LO BARNECHEA","Particular Subvencionado",1644,56.0991484184915
13116,"LO ESPEJO","Municipal",2059,53.3739679456047
13116,"LO ESPEJO","Particular Subvencionado",2960,54.2378378378378
13117,"LO PRADO","Particular Subvencionado",3182,55.6137649277184
13117,"LO PRADO","Servicio Local de Educación",2270,54.1334801762115
13118,"MACUL","Particular Pagado",878,59.8826879271071
13118,"MACUL","Particular Subvencionado",3690,55.3750677506776
13118,"MACUL","Servicio Local de Educación",1857,55.4970382337103
13119,"MAIPÚ","Corporación de Administración Delegada",163,58.5398773006135
13119,"MAIPÚ","Municipal",6616,55.8186215235792
13119,"MAIPÚ","Particular Pagado",1654,60.040507859734
13119,"MAIPÚ","Particular Subvencionado",26739,55.7991697520475
13120,"ÑUÑOA","Municipal",4170,56.4520383693046
13120,"ÑUÑOA","Particular Pagado",5197,59.3971522031941
13120,"ÑUÑOA","Particular Subvencionado",2677,56.3380649981322
13121,"PEDRO AGUIRRE CERDA","Municipal",1899,54.535018430753
13121,"PEDRO AGUIRRE CERDA","Particular Subvencionado",5162,53.9912824486633
13122,"PEÑALOLÉN","Municipal",3322,53.2372065021071
13122,"PEÑALOLÉN","Particular Pagado",4644,60.1210163652024
13122,"PEÑALOLÉN","Particular Subvencionado",6915,53.9237888647867
13123,"PROVIDENCIA","Municipal",2350,57.7404255319149
13123,"PROVIDENCIA","Particular Pagado",5771,61.988216946803
13123,"PROVIDENCIA","Particular Subvencionado",1320,58.9651515151515
13124,"PUDAHUEL","Particular Pagado",577,55.6689774696707
13124,"PUDAHUEL","Particular Subvencionado",8398,54.828173374613
13124,"PUDAHUEL","Servicio Local de Educación",4762,55.6829063418732
13125,"QUILICURA","Municipal",2956,52.8213802435724
13125,"QUILICURA","Particular Pagado",981,60.1997961264016
13125,"QUILICURA","Particular Subvencionado",12471,54.767941624569
13126,"QUINTA NORMAL","Municipal",4161,54.917808219178
13126,"QUINTA NORMAL","Particular Subvencionado",6001,55.0366605565739
13127,"RECOLETA","Municipal",3773,56.0209382454281
13127,"RECOLETA","Particular Pagado",593,61.4620573355818
13127,"RECOLETA","Particular Subvencionado",7965,55.0554927809166
13128,"RENCA","Municipal",3318,54.1289933694997
13128,"RENCA","Particular Subvencionado",6555,53.8752097635393
13129,"SAN JOAQUÍN","Particular Subvencionado",2642,54.9284632853899
13129,"SAN JOAQUÍN","Servicio Local de Educación",1921,54.9843831337845
13130,"SAN MIGUEL","Municipal",1401,55.4932191291934
13130,"SAN MIGUEL","Particular Pagado",1016,58.1781496062992
13130,"SAN MIGUEL","Particular Subvencionado",5689,56.885041307787
13131,"SAN RAMÓN","Municipal",988,53.3694331983806
13131,"SAN RAMÓN","Particular Subvencionado",4471,54.3502572131514
13132,"VITACURA","Municipal",992,55.6451612903226
13132,"VITACURA","Particular Pagado",6632,60.5811218335344
13132,"VITACURA","Particular Subvencionado",195,56.7435897435897
