codigo_comuna,nombre_comuna,TipoEstablecimiento,n_estudiantes,promedio
13101,SANTIAGO,Corporación de Administración Delegada,2261,5.1
13101,SANTIAGO,Municipal,6410,5.6
13101,SANTIAGO,Particular Pagado,1254,5.3
13101,SANTIAGO,Particular Subvencionado,6050,5.4
13102,CERRILLOS,Municipal,94,4.5
13102,CERRILLOS,Particular Subvencionado,1214,5
13103,CERRO NAVIA,Particular Subvencionado,654,4.9
13103,CERRO NAVIA,Servicio Local de Educación,306,4.8
13104,CONCHALÍ,Municipal,562,4.9
13104,CONCHALÍ,Particular Subvencionado,797,5
13105,EL BOSQUE,Municipal,394,4.9
13105,EL BOSQUE,Particular Pagado,101,5.6
13105,EL BOSQUE,Particular Subvencionado,2992,5.4
13106,ESTACIÓN CENTRAL,Corporación de Administración Delegada,296,5.6
13106,ESTACIÓN CENTRAL,Municipal,599,5
13106,ESTACIÓN CENTRAL,Particular Pagado,156,6.2
13106,ESTACIÓN CENTRAL,Particular Subvencionado,1628,5.7
13107,HUECHURABA,Municipal,106,5.1
13107,HUECHURABA,Particular Pagado,862,5.9
13107,HUECHURABA,Particular Subvencionado,316,5.2
13108,INDEPENDENCIA,Municipal,552,5.4
13108,INDEPENDENCIA,Particular Pagado,146,5.5
13108,INDEPENDENCIA,Particular Subvencionado,1851,5.1
13109,LA CISTERNA,Corporación de Administración Delegada,371,4.8
13109,LA CISTERNA,Municipal,647,4.9
13109,LA CISTERNA,Particular Pagado,52,5.3
13109,LA CISTERNA,Particular Subvencionado,4415,5.2
13110,LA FLORIDA,Municipal,1321,4.9
13110,LA FLORIDA,Particular Pagado,1021,5.7
13110,LA FLORIDA,Particular Subvencionado,6847,5.3
13111,LA GRANJA,Particular Subvencionado,1192,5.3
13111,LA GRANJA,Servicio Local de Educación,350,4.5
13112,LA PINTANA,Municipal,297,4.9
13112,LA PINTANA,Particular Subvencionado,3140,5
13113,LA REINA,Municipal,458,4.9
13113,LA REINA,Particular Pagado,1578,5.9
13113,LA REINA,Particular Subvencionado,631,5.8
13114,LAS CONDES,Municipal,759,5.1
13114,LAS CONDES,Particular Pagado,4638,5.9
13114,LAS CONDES,Particular Subvencionado,960,5.1
13115,LO BARNECHEA,Municipal,249,5
13115,LO BARNECHEA,Particular Pagado,2087,5.9
13115,LO BARNECHEA,Particular Subvencionado,482,5.5
13116,LO ESPEJO,Municipal,158,4.7
13116,LO ESPEJO,Particular Subvencionado,584,4.9
13117,LO PRADO,Particular Subvencionado,241,5.3
13117,LO PRADO,Servicio Local de Educación,512,4.8
13118,MACUL,Particular Pagado,170,6.1
13118,MACUL,Particular Subvencionado,1024,5.4
13118,MACUL,Servicio Local de Educación,301,5
13119,MAIPÚ,Corporación de Administración Delegada,376,4.9
13119,MAIPÚ,Municipal,2100,5.3
13119,MAIPÚ,Particular Pagado,462,5.6
13119,MAIPÚ,Particular Subvencionado,10001,5.4
13120,ÑUÑOA,Corporación de Administración Delegada,1694,5
13120,ÑUÑOA,Municipal,1968,4.8
13120,ÑUÑOA,Particular Pagado,1832,5.6
13120,ÑUÑOA,Particular Subvencionado,1730,5.2
13121,PEDRO AGUIRRE CERDA,Corporación de Administración Delegada,323,4.4
13121,PEDRO AGUIRRE CERDA,Municipal,166,4.8
13121,PEDRO AGUIRRE CERDA,Particular Subvencionado,591,4.9
13122,PEÑALOLÉN,Municipal,852,4.6
13122,PEÑALOLÉN,Particular Pagado,1602,5.2
13122,PEÑALOLÉN,Particular Subvencionado,1690,5.2
13123,PROVIDENCIA,Municipal,2822,5.4
13123,PROVIDENCIA,Particular Pagado,1904,5.5
13123,PROVIDENCIA,Particular Subvencionado,1121,5.4
13124,PUDAHUEL,Particular Pagado,156,6
13124,PUDAHUEL,Particular Subvencionado,2237,5.2
13124,PUDAHUEL,Servicio Local de Educación,417,4.9
13125,QUILICURA,Municipal,774,4.9
13125,QUILICURA,Particular Pagado,323,6.3
13125,QUILICURA,Particular Subvencionado,4115,5.4
13126,QUINTA NORMAL,Corporación de Administración Delegada,747,4.9
13126,QUINTA NORMAL,Municipal,969,4.9
13126,QUINTA NORMAL,Particular Subvencionado,1705,5.2
13127,RECOLETA,Corporación de Administración Delegada,1490,4.8
13127,RECOLETA,Municipal,988,5
13127,RECOLETA,Particular Pagado,179,5.8
13127,RECOLETA,Particular Subvencionado,1835,5.2
13128,RENCA,Corporación de Administración Delegada,405,4.6
13128,RENCA,Municipal,624,4.8
13128,RENCA,Particular Subvencionado,1898,5.1
13129,SAN JOAQUÍN,Corporación de Administración Delegada,497,4.5
13129,SAN JOAQUÍN,Particular Subvencionado,352,5.3
13129,SAN JOAQUÍN,Servicio Local de Educación,110,4.5
13130,SAN MIGUEL,Corporación de Administración Delegada,983,5.4
13130,SAN MIGUEL,Municipal,434,5.1
13130,SAN MIGUEL,Particular Pagado,306,5.7
13130,SAN MIGUEL,Particular Subvencionado,2669,5.4
13131,SAN RAMÓN,Corporación de Administración Delegada,169,4.2
13131,SAN RAMÓN,Municipal,302,4.7
13131,SAN RAMÓN,Particular Subvencionado,919,4.7
13132,VITACURA,Municipal,344,5
13132,VITACURA,Particular Pagado,2383,5.8
13132,VITACURA,Particular Subvencionado,75,5.6
