"","codigo_comuna","nombre_comuna","TipoEstablecimiento","n_estudiantes","promedio"
"1",1101,"IQUIQUE","Corporación de Administración Delegada",175,4.6
"2",1101,"IQUIQUE","Municipal",1679,5.1
"3",1101,"IQUIQUE","Particular Pagado",338,5.8
"4",1101,"IQUIQUE","Particular Subvencionado",3096,5.4
"5",1107,"ALTO HOSPICIO","Municipal",381,5.3
"6",1107,"ALTO HOSPICIO","Particular Subvencionado",2829,5.2
"7",1401,"POZO ALMONTE","Municipal",341,5.4
"8",1402,"CAMIÑA","Municipal",26,5.6
"9",1403,"COLCHANE","Municipal",21,5.2
"10",1404,"HUARA","Municipal",37,4.6
"11",1405,"PICA","Municipal",168,5.3
"12",2101,"ANTOFAGASTA","Municipal",4841,5.1
"13",2101,"ANTOFAGASTA","Particular Pagado",980,5.6
"14",2101,"ANTOFAGASTA","Particular Subvencionado",3879,5.3
"15",2102,"MEJILLONES","Municipal",347,5.5
"16",2103,"SIERRA GORDA","Municipal",22,5.2
"17",2104,"TALTAL","Municipal",342,5.7
"18",2201,"CALAMA","Municipal",2837,5
"19",2201,"CALAMA","Particular Pagado",342,5.4
"20",2201,"CALAMA","Particular Subvencionado",1688,5.4
"21",2203,"SAN PEDRO DE ATACAMA","Municipal",187,4.9
"22",2301,"TOCOPILLA","Municipal",508,5.1
"23",2301,"TOCOPILLA","Particular Subvencionado",209,5.4
"24",2302,"MARÍA ELENA","Municipal",146,5.6
"25",3101,"COPIAPÓ","Municipal",1925,4.9
"26",3101,"COPIAPÓ","Particular Pagado",240,5.6
"27",3101,"COPIAPÓ","Particular Subvencionado",2205,5.2
"28",3102,"CALDERA","Municipal",193,4.9
"29",3102,"CALDERA","Particular Subvencionado",249,4.9
"30",3103,"TIERRA AMARILLA","Municipal",272,5.1
"31",3201,"CHAÑARAL","Municipal",331,5.1
"32",3201,"CHAÑARAL","Particular Subvencionado",31,5.3
"33",3202,"DIEGO DE ALMAGRO","Municipal",254,5.3
