"","codigo_comuna","nombre_comuna","SituacionFinal","n_estudiantes"
"1",1101,"IQUIQUE","Promovido",15994
"2",1101,"IQUIQUE","Reprobado",190
"3",1101,"IQUIQUE","Retirado",1700
"4",1107,"ALTO HOSPICIO","Promovido",10657
"5",1107,"ALTO HOSPICIO","Reprobado",249
"6",1107,"ALTO HOSPICIO","Retirado",816
"7",1401,"POZO ALMONTE","Promovido",1435
"8",1401,"POZO ALMONTE","Reprobado",21
"9",1401,"POZO ALMONTE","Retirado",70
"10",1402,"CAMIÑA","Promovido",132
"11",1402,"CAMIÑA","Reprobado",1
"12",1402,"CAMIÑA","Retirado",6
"13",1403,"COLCHANE","Promovido",83
"14",1403,"COLCHANE","Reprobado",2
"15",1403,"COLCHANE","Retirado",14
"16",1404,"HUARA","Promovido",246
"17",1404,"HUARA","Retirado",21
"18",1405,"PICA","Promovido",635
"19",1405,"PICA","Reprobado",14
"20",1405,"PICA","Retirado",26
"21",2101,"ANTOFAGASTA","Promovido",27424
"22",2101,"ANTOFAGASTA","Reprobado",613
"23",2101,"ANTOFAGASTA","Retirado",1855
"24",2102,"MEJILLONES","Promovido",1243
"25",2102,"MEJILLONES","Reprobado",26
"26",2102,"MEJILLONES","Retirado",64
"27",2103,"SIERRA GORDA","Promovido",148
"28",2103,"SIERRA GORDA","Reprobado",1
"29",2103,"SIERRA GORDA","Retirado",4
"30",2104,"TALTAL","Promovido",959
"31",2104,"TALTAL","Reprobado",1
"32",2104,"TALTAL","Retirado",56
"33",2201,"CALAMA","Promovido",13858
"34",2201,"CALAMA","Reprobado",62
"35",2201,"CALAMA","Retirado",923
"36",2201,"CALAMA",NA,15
"37",2202,"OLLAGÜE","Promovido",20
"38",2202,"OLLAGÜE","Reprobado",2
"39",2203,"SAN PEDRO DE ATACAMA","Promovido",810
"40",2203,"SAN PEDRO DE ATACAMA","Reprobado",2
"41",2203,"SAN PEDRO DE ATACAMA","Retirado",54
"42",2301,"TOCOPILLA","Promovido",2020
"43",2301,"TOCOPILLA","Reprobado",16
"44",2301,"TOCOPILLA","Retirado",125
"45",2302,"MARÍA ELENA","Promovido",348
"46",2302,"MARÍA ELENA","Reprobado",14
"47",2302,"MARÍA ELENA","Retirado",21
"48",3101,"COPIAPÓ","Promovido",12826
"49",3101,"COPIAPÓ","Reprobado",109
"50",3101,"COPIAPÓ","Retirado",833
"51",3102,"CALDERA","Promovido",1486
"52",3102,"CALDERA","Reprobado",5
"53",3102,"CALDERA","Retirado",105
"54",3103,"TIERRA AMARILLA","Promovido",819
"55",3103,"TIERRA AMARILLA","Reprobado",7
"56",3103,"TIERRA AMARILLA","Retirado",64
"57",3201,"CHAÑARAL","Promovido",983
"58",3201,"CHAÑARAL","Reprobado",9
"59",3201,"CHAÑARAL","Retirado",87
"60",3202,"DIEGO DE ALMAGRO","Promovido",993
"61",3202,"DIEGO DE ALMAGRO","Reprobado",4
"62",3202,"DIEGO DE ALMAGRO","Retirado",93
"63",3301,"VALLENAR","Promovido",4225
"64",3301,"VALLENAR","Reprobado",49
"65",3301,"VALLENAR","Retirado",192
"66",3302,"ALTO DEL CARMEN","Promovido",310
"67",3302,"ALTO DEL CARMEN","Reprobado",4
"68",3302,"ALTO DEL CARMEN","Retirado",17
"69",3303,"FREIRINA","Promovido",567
"70",3303,"FREIRINA","Reprobado",5
"71",3303,"FREIRINA","Retirado",40
"72",3304,"HUASCO","Promovido",821
"73",3304,"HUASCO","Reprobado",3
"74",3304,"HUASCO","Retirado",66
"75",4101,"LA SERENA","Promovido",20280
"76",4101,"LA SERENA","Reprobado",211
"77",4101,"LA SERENA","Retirado",1363
"78",4102,"COQUIMBO","Promovido",17013
"79",4102,"COQUIMBO","Reprobado",128
"80",4102,"COQUIMBO","Retirado",1333
"81",4103,"ANDACOLLO","Promovido",781
"82",4103,"ANDACOLLO","Reprobado",1
"83",4103,"ANDACOLLO","Retirado",39
"84",4104,"LA HIGUERA","Promovido",348
"85",4104,"LA HIGUERA","Reprobado",10
"86",4104,"LA HIGUERA","Retirado",22
"87",4105,"PAIGUANO","Promovido",302
"88",4105,"PAIGUANO","Retirado",18
"89",4106,"VICUÑA","Promovido",1972
"90",4106,"VICUÑA","Reprobado",19
"91",4106,"VICUÑA","Retirado",148
"92",4201,"ILLAPEL","Promovido",2278
"93",4201,"ILLAPEL","Reprobado",25
"94",4201,"ILLAPEL","Retirado",139
"95",4202,"CANELA","Promovido",574
"96",4202,"CANELA","Retirado",26
"97",4203,"LOS VILOS","Promovido",1707
"98",4203,"LOS VILOS","Reprobado",6
"99",4203,"LOS VILOS","Retirado",133
"100",4203,"LOS VILOS",NA,1
"101",4204,"SALAMANCA","Promovido",2024
"102",4204,"SALAMANCA","Reprobado",3
"103",4204,"SALAMANCA","Retirado",144
"104",4301,"OVALLE","Promovido",8940
"105",4301,"OVALLE","Reprobado",74
"106",4301,"OVALLE","Retirado",602
"107",4302,"COMBARBALÁ","Promovido",788
"108",4302,"COMBARBALÁ","Reprobado",4
"109",4302,"COMBARBALÁ","Retirado",30
"110",4303,"MONTE PATRIA","Promovido",2221
"111",4303,"MONTE PATRIA","Reprobado",28
"112",4303,"MONTE PATRIA","Retirado",108
"113",4304,"PUNITAQUI","Promovido",874
"114",4304,"PUNITAQUI","Reprobado",3
"115",4304,"PUNITAQUI","Retirado",41
"116",4305,"RÍO HURTADO","Promovido",222
"117",4305,"RÍO HURTADO","Reprobado",1
"118",4305,"RÍO HURTADO","Retirado",18
"119",5101,"VALPARAÍSO","Promovido",17293
"120",5101,"VALPARAÍSO","Reprobado",242
"121",5101,"VALPARAÍSO","Retirado",1729
"122",5102,"CASABLANCA","Promovido",2111
"123",5102,"CASABLANCA","Reprobado",20
"124",5102,"CASABLANCA","Retirado",151
"125",5103,"CONCÓN","Promovido",3391
"126",5103,"CONCÓN","Reprobado",32
"127",5103,"CONCÓN","Retirado",235
"128",5104,"JUAN FERNÁNDEZ","Promovido",72
"129",5105,"PUCHUNCAVÍ","Promovido",1340
"130",5105,"PUCHUNCAVÍ","Reprobado",48
"131",5105,"PUCHUNCAVÍ","Retirado",131
"132",5107,"QUINTERO","Promovido",2249
"133",5107,"QUINTERO","Reprobado",69
"134",5107,"QUINTERO","Retirado",180
"135",5109,"VIÑA DEL MAR","Promovido",20143
"136",5109,"VIÑA DEL MAR","Reprobado",296
"137",5109,"VIÑA DEL MAR","Retirado",2187
"138",5201,"ISLA DE PASCUA","Promovido",635
"139",5201,"ISLA DE PASCUA","Reprobado",8
"140",5201,"ISLA DE PASCUA","Retirado",39
"141",5301,"LOS ANDES","Promovido",5469
"142",5301,"LOS ANDES","Reprobado",57
"143",5301,"LOS ANDES","Retirado",446
"144",5302,"CALLE LARGA","Promovido",1202
"145",5302,"CALLE LARGA","Reprobado",10
"146",5302,"CALLE LARGA","Retirado",73
"147",5303,"RINCONADA","Promovido",623
"148",5303,"RINCONADA","Reprobado",4
"149",5303,"RINCONADA","Retirado",54
"150",5304,"SAN ESTEBAN","Promovido",776
"151",5304,"SAN ESTEBAN","Reprobado",4
"152",5304,"SAN ESTEBAN","Retirado",57
"153",5401,"LA LIGUA","Promovido",2761
"154",5401,"LA LIGUA","Reprobado",13
"155",5401,"LA LIGUA","Retirado",167
"156",5402,"CABILDO","Promovido",1335
"157",5402,"CABILDO","Reprobado",3
"158",5402,"CABILDO","Retirado",80
"159",5403,"PAPUDO","Promovido",426
"160",5403,"PAPUDO","Retirado",31
"161",5404,"PETORCA","Promovido",607
"162",5404,"PETORCA","Retirado",34
"163",5405,"ZAPALLAR","Promovido",729
"164",5405,"ZAPALLAR","Reprobado",2
"165",5405,"ZAPALLAR","Retirado",30
"166",5501,"QUILLOTA","Promovido",7341
"167",5501,"QUILLOTA","Reprobado",132
"168",5501,"QUILLOTA","Retirado",416
"169",5502,"CALERA","Promovido",4165
"170",5502,"CALERA","Reprobado",40
"171",5502,"CALERA","Retirado",326
"172",5503,"HIJUELAS","Promovido",1087
"173",5503,"HIJUELAS","Reprobado",4
"174",5503,"HIJUELAS","Retirado",88
"175",5504,"LA CRUZ","Promovido",708
"176",5504,"LA CRUZ","Reprobado",6
"177",5504,"LA CRUZ","Retirado",79
"178",5506,"NOGALES","Promovido",1308
"179",5506,"NOGALES","Reprobado",5
"180",5506,"NOGALES","Retirado",72
"181",5601,"SAN ANTONIO","Promovido",7278
