codigo_comuna,nombre_comuna,SituacionFinal,n_estudiantes
13101,SANTIAGO,Promovido,15604
13101,SANTIAGO,Reprobado,371
13101,SANTIAGO,Retirado,596
13102,CERRILLOS,Promovido,1274
13102,CERRILLOS,Reprobado,37
13102,CERRILLOS,Retirado,40
13103,CERRO NAVIA,Promovido,918
13103,CERRO NAVIA,Reprobado,38
13103,CERRO NAVIA,Retirado,43
13104,CONCHALÍ,Promovido,1364
13104,CONCHALÍ,Reprobado,11
13104,CONCHALÍ,Retirado,34
13105,EL BOSQUE,Promovido,3466
13105,EL BOSQUE,Reprobado,31
13105,EL BOSQUE,Retirado,133
13106,ESTACIÓN CENTRAL,Promovido,2609
13106,ESTACIÓN CENTRAL,Reprobado,59
13106,ESTACIÓN CENTRAL,Retirado,115
13107,HUECHURABA,Promovido,1278
13107,HUECHURABA,Reprobado,7
13107,HUECHURABA,Retirado,40
13108,INDEPENDENCIA,Promovido,2514
13108,INDEPENDENCIA,Reprobado,31
13108,INDEPENDENCIA,Retirado,128
13109,LA CISTERNA,Promovido,5333
13109,LA CISTERNA,Reprobado,138
13109,LA CISTERNA,Retirado,219
13110,LA FLORIDA,Promovido,8915
13110,LA FLORIDA,Reprobado,277
13110,LA FLORIDA,Retirado,520
13111,LA GRANJA,Promovido,1492
13111,LA GRANJA,Reprobado,46
13111,LA GRANJA,Retirado,59
13112,LA PINTANA,Promovido,3301
13112,LA PINTANA,Reprobado,131
13112,LA PINTANA,Retirado,95
13113,LA REINA,Promovido,2638
13113,LA REINA,Reprobado,38
13113,LA REINA,Retirado,88
13114,LAS CONDES,Promovido,6322
13114,LAS CONDES,Reprobado,36
13114,LAS CONDES,Retirado,204
13115,LO BARNECHEA,Promovido,2802
13115,LO BARNECHEA,Reprobado,12
13115,LO BARNECHEA,Retirado,246
13116,LO ESPEJO,Promovido,718
13116,LO ESPEJO,Reprobado,20
13116,LO ESPEJO,Retirado,39
13117,LO PRADO,Promovido,757
13117,LO PRADO,Reprobado,2
13117,LO PRADO,Retirado,21
13118,MACUL,Promovido,1472
13118,MACUL,Reprobado,20
13118,MACUL,Retirado,73
13119,MAIPÚ,Promovido,12764
13119,MAIPÚ,Reprobado,185
13119,MAIPÚ,Retirado,423
13120,ÑUÑOA,Promovido,7075
13120,ÑUÑOA,Reprobado,147
13120,ÑUÑOA,Retirado,380
13121,PEDRO AGUIRRE CERDA,Promovido,1043
13121,PEDRO AGUIRRE CERDA,Reprobado,34
13121,PEDRO AGUIRRE CERDA,Retirado,58
13122,PEÑALOLÉN,Promovido,4101
13122,PEÑALOLÉN,Reprobado,57
13122,PEÑALOLÉN,Retirado,224
13123,PROVIDENCIA,Promovido,5814
13123,PROVIDENCIA,Reprobado,20
13123,PROVIDENCIA,Retirado,330
13124,PUDAHUEL,Promovido,2746
13124,PUDAHUEL,Reprobado,65
13124,PUDAHUEL,Retirado,86
13125,QUILICURA,Promovido,5155
13125,QUILICURA,Reprobado,76
13125,QUILICURA,Retirado,143
13126,QUINTA NORMAL,Promovido,3261
13126,QUINTA NORMAL,Reprobado,152
13126,QUINTA NORMAL,Retirado,123
13127,RECOLETA,Promovido,4396
13127,RECOLETA,Reprobado,91
13127,RECOLETA,Retirado,130
13128,RENCA,Promovido,2869
13128,RENCA,Reprobado,56
13128,RENCA,Retirado,69
13129,SAN JOAQUÍN,Promovido,917
13129,SAN JOAQUÍN,Reprobado,38
13129,SAN JOAQUÍN,Retirado,50
13130,SAN MIGUEL,Promovido,4271
13130,SAN MIGUEL,Reprobado,126
13130,SAN MIGUEL,Retirado,285
13131,SAN RAMÓN,Promovido,1363
13131,SAN RAMÓN,Reprobado,30
13131,SAN RAMÓN,Retirado,57
13132,VITACURA,Promovido,2795
13132,VITACURA,Reprobado,10
13132,VITACURA,Retirado,39
