codigo_comuna,nombre_comuna,ambito,n_denuncias
13101,SANTIAGO,CONVIVENCIA,66
13101,SANTIAGO,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
13101,SANTIAGO,GESTIÓN TÉCNICO-PEDAGÓGICA,7
13101,SANTIAGO,INFRAESTRUCTURA,1
13101,SANTIAGO,SEGURIDAD E HIGIENE,4
13102,CERRILLOS,CONVIVENCIA,6
13102,CERRILLOS,GESTIÓN TÉCNICO-PEDAGÓGICA,1
13103,CERRO NAVIA,CONVIVENCIA,1
13104,CONCHALÍ,CONVIVENCIA,8
13104,CONCHALÍ,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
13104,CONCHALÍ,INFRAESTRUCTURA,1
13104,CONCHALÍ,SEGURIDAD E HIGIENE,1
13105,EL BOSQUE,CONVIVENCIA,21
13105,EL BOSQUE,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
13105,EL BOSQUE,GESTIÓN TÉCNICO-PEDAGÓGICA,1
13105,EL BOSQUE,INFRAESTRUCTURA,1
13106,ESTACIÓN CENTRAL,ADMISIÓN,1
13106,ESTACIÓN CENTRAL,CONVIVENCIA,10
13107,HUECHURABA,CONVIVENCIA,5
13108,INDEPENDENCIA,CONVIVENCIA,5
13108,INDEPENDENCIA,SEGURIDAD E HIGIENE,1
13109,LA CISTERNA,ADMISIÓN,1
13109,LA CISTERNA,CONVIVENCIA,17
13109,LA CISTERNA,GESTIÓN DE RECURSOS FINANCIEROS,1
13109,LA CISTERNA,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
13109,LA CISTERNA,GESTIÓN TÉCNICO-PEDAGÓGICA,1
13110,LA FLORIDA,ADMISIÓN,3
13110,LA FLORIDA,CONVIVENCIA,40
13110,LA FLORIDA,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
13110,LA FLORIDA,GESTIÓN TÉCNICO-PEDAGÓGICA,2
13110,LA FLORIDA,SEGURIDAD E HIGIENE,1
13111,LA GRANJA,CONVIVENCIA,7
13111,LA GRANJA,SEGURIDAD E HIGIENE,1
13112,LA PINTANA,ADMISIÓN,1
13112,LA PINTANA,CONVIVENCIA,12
13112,LA PINTANA,SEGURIDAD E HIGIENE,2
13113,LA REINA,CONVIVENCIA,7
13114,LAS CONDES,ADMISIÓN,1
13114,LAS CONDES,CONVIVENCIA,16
13114,LAS CONDES,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
13115,LO BARNECHEA,CONVIVENCIA,6
13116,LO ESPEJO,CONVIVENCIA,3
13118,MACUL,CONVIVENCIA,5
13118,MACUL,GESTIÓN TÉCNICO-ADMINISTRATIVA,2
13119,MAIPÚ,CONVIVENCIA,61
13119,MAIPÚ,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
13119,MAIPÚ,GESTIÓN TÉCNICO-PEDAGÓGICA,6
13119,MAIPÚ,INFRAESTRUCTURA,1
13119,MAIPÚ,SEGURIDAD E HIGIENE,3
13120,ÑUÑOA,CONVIVENCIA,34
13120,ÑUÑOA,GESTIÓN TÉCNICO-ADMINISTRATIVA,4
13120,ÑUÑOA,GESTIÓN TÉCNICO-PEDAGÓGICA,6
13120,ÑUÑOA,SEGURIDAD E HIGIENE,3
13121,PEDRO AGUIRRE CERDA,CONVIVENCIA,6
13122,PEÑALOLÉN,CONVIVENCIA,10
13122,PEÑALOLÉN,GESTIÓN TÉCNICO-ADMINISTRATIVA,2
13122,PEÑALOLÉN,INFRAESTRUCTURA,1
13122,PEÑALOLÉN,SEGURIDAD E HIGIENE,3
13123,PROVIDENCIA,CONVIVENCIA,22
13123,PROVIDENCIA,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
13123,PROVIDENCIA,GESTIÓN TÉCNICO-PEDAGÓGICA,1
13123,PROVIDENCIA,SEGURIDAD E HIGIENE,2
13124,PUDAHUEL,CONVIVENCIA,11
13124,PUDAHUEL,SEGURIDAD E HIGIENE,1
13125,QUILICURA,ADMISIÓN,2
13125,QUILICURA,CONVIVENCIA,26
13125,QUILICURA,SEGURIDAD E HIGIENE,1
13126,QUINTA NORMAL,ADMISIÓN,1
13126,QUINTA NORMAL,CONVIVENCIA,4
13126,QUINTA NORMAL,GESTIÓN TÉCNICO-PEDAGÓGICA,1
13126,QUINTA NORMAL,SEGURIDAD E HIGIENE,1
13127,RECOLETA,CONVIVENCIA,15
13127,RECOLETA,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
13128,RENCA,CONVIVENCIA,7
13128,RENCA,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
13129,SAN JOAQUÍN,CONVIVENCIA,2
13130,SAN MIGUEL,CONVIVENCIA,14
13130,SAN MIGUEL,GESTIÓN TÉCNICO-ADMINISTRATIVA,2
13130,SAN MIGUEL,GESTIÓN TÉCNICO-PEDAGÓGICA,1
13130,SAN MIGUEL,INFRAESTRUCTURA,1
13130,SAN MIGUEL,SEGURIDAD E HIGIENE,1
13132,VITACURA,ADMISIÓN,1
13132,VITACURA,CONVIVENCIA,9
