codigo_comuna,nombre_comuna,ambito,n_denuncias
1101,IQUIQUE,ADMISIÓN,2
1101,IQUIQUE,CONVIVENCIA,24
1101,IQUIQUE,GESTIÓN TÉCNICO-PEDAGÓGICA,1
1101,IQUIQUE,"MOBILIARIO, EQUIPAMIENTO, MATERIAL DIDÁCTICO Y ELEMENTOS DE ENSEÑANZA",1
1101,IQUIQUE,SEGURIDAD E HIGIENE,1
1107,ALTO HOSPICIO,ADMISIÓN,2
1107,ALTO HOSPICIO,CONVIVENCIA,13
1403,COLCHANE,GESTIÓN DE RECURSOS FINANCIEROS,1
2101,ANTOFAGASTA,ADMISIÓN,6
2101,ANTOFAGASTA,CONVIVENCIA,19
2101,ANTOFAGASTA,GESTIÓN DE RECURSOS FINANCIEROS,3
2102,MEJILLONES,CONVIVENCIA,1
2104,TALTAL,CONVIVENCIA,1
2201,CALAMA,CONVIVENCIA,15
2201,CALAMA,GESTIÓN TÉCNICO-ADMINISTRATIVA,2
2201,CALAMA,GESTIÓN TÉCNICO-PEDAGÓGICA,1
2301,TOCOPILLA,CONVIVENCIA,5
2301,TOCOPILLA,GESTIÓN DE RECURSOS FINANCIEROS,1
3101,COPIAPÓ,CONVIVENCIA,17
3101,COPIAPÓ,GESTIÓN TÉCNICO-ADMINISTRATIVA,3
3101,COPIAPÓ,INFRAESTRUCTURA,1
3101,COPIAPÓ,"MOBILIARIO, EQUIPAMIENTO, MATERIAL DIDÁCTICO Y ELEMENTOS DE ENSEÑANZA",1
3102,CALDERA,CONVIVENCIA,1
3103,TIERRA AMARILLA,CONVIVENCIA,2
3301,VALLENAR,CONVIVENCIA,3
3301,VALLENAR,GESTIÓN DE RECURSOS FINANCIEROS,1
3302,ALTO DEL CARMEN,CONVIVENCIA,2
3304,HUASCO,ADMISIÓN,1
4101,LA SERENA,CONVIVENCIA,25
4101,LA SERENA,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
4102,COQUIMBO,CONVIVENCIA,14
4102,COQUIMBO,GESTIÓN DE RECURSOS FINANCIEROS,1
4102,COQUIMBO,GESTIÓN TÉCNICO-PEDAGÓGICA,1
4105,PAIGUANO,CONVIVENCIA,1
4201,ILLAPEL,CONVIVENCIA,3
4201,ILLAPEL,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
4203,LOS VILOS,CONVIVENCIA,1
4204,SALAMANCA,GESTIÓN DE RECURSOS FINANCIEROS,1
4301,OVALLE,CONVIVENCIA,5
4301,OVALLE,SEGURIDAD E HIGIENE,1
4305,RÍO HURTADO,CONVIVENCIA,1
5101,VALPARAÍSO,ADMISIÓN,2
5101,VALPARAÍSO,CONVIVENCIA,17
5101,VALPARAÍSO,"MOBILIARIO, EQUIPAMIENTO, MATERIAL DIDÁCTICO Y ELEMENTOS DE ENSEÑANZA",1
5101,VALPARAÍSO,SEGURIDAD E HIGIENE,1
