"codigo_comuna","nombre_comuna","TipoEstablecimiento","n_estudiantes","promedio"
13101,"SANTIAGO","Municipal",7505,50.8843437708195
13101,"SANTIAGO","Particular Pagado",3436,55.4842840512224
13101,"SANTIAGO","Particular Subvencionado",11323,52.7805351938532
13102,"CERRILLOS","Municipal",1609,49.9558732131759
13102,"CERRILLOS","Particular Subvencionado",3174,49.152804032766
13103,"CERRO NAVIA","Particular Subvencionado",4448,52.3637589928058
13103,"CERRO NAVIA","Servicio Local de Educación",2785,46.5429084380609
13104,"CONCHALÍ","Municipal",3604,48.9164816870145
13104,"CONCHALÍ","Particular Pagado",130,58.9538461538462
13104,"CONCHALÍ","Particular Subvencionado",5605,50.7623550401427
13105,"EL BOSQUE","Municipal",2831,51.3352172377252
13105,"EL BOSQUE","Particular Pagado",260,56.9115384615385
13105,"EL BOSQUE","Particular Subvencionado",10752,53.921875
13106,"ESTACIÓN CENTRAL","Municipal",3815,50.0961992136304
13106,"ESTACIÓN CENTRAL","Particular Pagado",718,58.5933147632312
13106,"ESTACIÓN CENTRAL","Particular Subvencionado",5513,52.5846181752222
13107,"HUECHURABA","Municipal",1498,51.2136181575434
13107,"HUECHURABA","Particular Pagado",2639,57.4588859416446
13107,"HUECHURABA","Particular Subvencionado",1779,51.0449690837549
13108,"INDEPENDENCIA","Municipal",2312,48.4515570934257
13108,"INDEPENDENCIA","Particular Pagado",382,55.3429319371728
13108,"INDEPENDENCIA","Particular Subvencionado",4716,53.1128074639525
13109,"LA CISTERNA","Municipal",1062,51.4830508474576
13109,"LA CISTERNA","Particular Pagado",300,50.8066666666667
13109,"LA CISTERNA","Particular Subvencionado",7338,51.3406922867264
13110,"LA FLORIDA","Municipal",4485,51.6216276477146
13110,"LA FLORIDA","Particular Pagado",3136,54.077806122449
13110,"LA FLORIDA","Particular Subvencionado",20301,53.0473375695776
13111,"LA GRANJA","Particular Subvencionado",5534,52.5090350560173
13111,"LA GRANJA","Servicio Local de Educación",2295,46.913725490196
13112,"LA PINTANA","Municipal",2067,48.5708756652153
13112,"LA PINTANA","Particular Subvencionado",11512,49.95552466991
13113,"LA REINA","Municipal",1388,48.8760806916426
13113,"LA REINA","Particular Pagado",4761,55.073934047469
13113,"LA REINA","Particular Subvencionado",2692,54.8283803863298
13114,"LAS CONDES","Municipal",1630,51.7036809815951
13114,"LAS CONDES","Particular Pagado",10572,54.6589103291713
13114,"LAS CONDES","Particular Subvencionado",1847,51.8321602598809
13115,"LO BARNECHEA","Municipal",482,53.9087136929461
13115,"LO BARNECHEA","Particular Pagado",6052,55.9106080634501
13115,"LO BARNECHEA","Particular Subvencionado",1625,56.7815384615385
13116,"LO ESPEJO","Municipal",1895,50.0955145118733
13116,"LO ESPEJO","Particular Subvencionado",2905,50.7697074010327
13117,"LO PRADO","Particular Subvencionado",3187,52.7373705679322
13117,"LO PRADO","Servicio Local de Educación",2270,48.1678414096916
13118,"MACUL","Particular Pagado",850,59.9082352941177
13118,"MACUL","Particular Subvencionado",3705,54.1908232118759
13118,"MACUL","Servicio Local de Educación",1731,51.9196995956095
13119,"MAIPÚ","Corporación de Administración Delegada",194,57.159793814433
13119,"MAIPÚ","Municipal",6277,50.7960809303808
13119,"MAIPÚ","Particular Pagado",1513,52.7614011896893
13119,"MAIPÚ","Particular Subvencionado",26330,54.2167489555639
13120,"ÑUÑOA","Municipal",4248,50.903483992467
13120,"ÑUÑOA","Particular Pagado",5166,51.1951219512196
13120,"ÑUÑOA","Particular Subvencionado",2519,53.3807066296149
13121,"PEDRO AGUIRRE CERDA","Municipal",1872,47.5048076923077
13121,"PEDRO AGUIRRE CERDA","Particular Subvencionado",5110,52.6876712328767
13122,"PEÑALOLÉN","Municipal",3320,51.103313253012
13122,"PEÑALOLÉN","Particular Pagado",4666,53.1853836262323
13122,"PEÑALOLÉN","Particular Subvencionado",6631,53.9585281254713
13123,"PROVIDENCIA","Municipal",2300,56.1008695652174
13123,"PROVIDENCIA","Particular Pagado",5751,46.3255086071989
13123,"PROVIDENCIA","Particular Subvencionado",1302,56.3287250384025
13124,"PUDAHUEL","Particular Pagado",593,56.1096121416526
13124,"PUDAHUEL","Particular Subvencionado",8316,55.2246272246272
13124,"PUDAHUEL","Servicio Local de Educación",4528,49.0309187279151
13125,"QUILICURA","Municipal",2729,44.3015756687432
13125,"QUILICURA","Particular Pagado",952,55.2394957983194
13125,"QUILICURA","Particular Subvencionado",12311,53.295264397693
13126,"QUINTA NORMAL","Municipal",3883,49.7218645377285
13126,"QUINTA NORMAL","Particular Subvencionado",6075,53.1568724279835
13127,"RECOLETA","Municipal",3504,48.9212328767124
13127,"RECOLETA","Particular Pagado",588,55.1683673469388
13127,"RECOLETA","Particular Subvencionado",7945,54.2241661422278
13128,"RENCA","Municipal",3228,41.138166047088
13128,"RENCA","Particular Subvencionado",6531,50.8669422753024
13129,"SAN JOAQUÍN","Particular Subvencionado",2417,51.8841539098055
13129,"SAN JOAQUÍN","Servicio Local de Educación",1933,47.4645628556649
13130,"SAN MIGUEL","Municipal",1343,44.2509307520476
13130,"SAN MIGUEL","Particular Pagado",1001,49.7502497502497
13130,"SAN MIGUEL","Particular Subvencionado",5790,49.9468048359241
13131,"SAN RAMÓN","Municipal",1101,45.8038147138964
13131,"SAN RAMÓN","Particular Subvencionado",4414,51.0244676030812
13132,"VITACURA","Municipal",975,45.7671794871795
13132,"VITACURA","Particular Pagado",6783,51.234556980687
13132,"VITACURA","Particular Subvencionado",196,61.6071428571429
