codigo_comuna,nombre_comuna,TipoEstablecimiento,n_estudiantes,promedio
13101,SANTIAGO,Municipal,7518,5.9
13101,SANTIAGO,Particular Pagado,3142,6.2
13101,SANTIAGO,Particular Subvencionado,11126,5.9
13102,CERRILLOS,Municipal,1721,5.6
13102,CERRILLOS,Particular Subvencionado,3188,5.8
13103,CERRO NAVIA,Particular Subvencionado,4133,5.7
13103,CERRO NAVIA,Servicio Local de Educación,2800,5.6
13104,CONCHALÍ,Municipal,3189,5.6
13104,CONCHALÍ,Particular Pagado,125,5.6
13104,CONCHALÍ,Particular Subvencionado,5302,5.8
13105,EL BOSQUE,Municipal,2381,5.4
13105,EL BOSQUE,Particular Pagado,296,6
13105,EL BOSQUE,Particular Subvencionado,10040,5.7
13106,ESTACIÓN CENTRAL,Municipal,3847,5.7
13106,ESTACIÓN CENTRAL,Particular Pagado,703,6.1
13106,ESTACIÓN CENTRAL,Particular Subvencionado,5237,5.8
13107,HUECHURABA,Municipal,1541,5.6
13107,HUECHURABA,Particular Pagado,2513,6.3
13107,HUECHURABA,Particular Subvencionado,1694,5.7
13108,INDEPENDENCIA,Municipal,2293,5.8
13108,INDEPENDENCIA,Particular Pagado,340,6.2
13108,INDEPENDENCIA,Particular Subvencionado,4629,5.7
13109,LA CISTERNA,Municipal,1249,5.8
13109,LA CISTERNA,Particular Subvencionado,6842,5.9
13110,LA FLORIDA,Municipal,4156,5.6
13110,LA FLORIDA,Particular Pagado,2814,6.1
13110,LA FLORIDA,Particular Subvencionado,18778,5.8
13111,LA GRANJA,Particular Subvencionado,5354,5.6
13111,LA GRANJA,Servicio Local de Educación,2056,5.5
13112,LA PINTANA,Municipal,2009,5.5
13112,LA PINTANA,Particular Subvencionado,10530,5.6
13113,LA REINA,Municipal,1280,5.7
13113,LA REINA,Particular Pagado,4790,6.1
13113,LA REINA,Particular Subvencionado,2676,5.9
13114,LAS CONDES,Municipal,2040,5.8
13114,LAS CONDES,Particular Pagado,10515,6.2
13114,LAS CONDES,Particular Subvencionado,1841,5.8
13115,LO BARNECHEA,Municipal,407,5.4
13115,LO BARNECHEA,Particular Pagado,6041,6.1
13115,LO BARNECHEA,Particular Subvencionado,1576,5.6
13116,LO ESPEJO,Municipal,1553,5.6
13116,LO ESPEJO,Particular Subvencionado,2730,5.7
13117,LO PRADO,Particular Subvencionado,3069,5.7
13117,LO PRADO,Servicio Local de Educación,2232,5.6
13118,MACUL,Particular Pagado,829,6.2
13118,MACUL,Particular Subvencionado,3727,5.8
13118,MACUL,Servicio Local de Educación,1622,5.8
13119,MAIPÚ,Corporación de Administración Delegada,182,6
13119,MAIPÚ,Municipal,5819,5.8
13119,MAIPÚ,Particular Pagado,1431,6.2
13119,MAIPÚ,Particular Subvencionado,24236,5.8
13120,ÑUÑOA,Municipal,4176,5.8
13120,ÑUÑOA,Particular Pagado,5285,6.1
13120,ÑUÑOA,Particular Subvencionado,2213,5.8
13121,PEDRO AGUIRRE CERDA,Municipal,1770,5.6
13121,PEDRO AGUIRRE CERDA,Particular Subvencionado,4815,5.7
13122,PEÑALOLÉN,Municipal,2899,5.5
13122,PEÑALOLÉN,Particular Pagado,4952,6.1
13122,PEÑALOLÉN,Particular Subvencionado,6221,5.7
13123,PROVIDENCIA,Municipal,2116,5.9
13123,PROVIDENCIA,Particular Pagado,5632,5.9
13123,PROVIDENCIA,Particular Subvencionado,1335,6
13124,PUDAHUEL,Particular Pagado,702,6.3
13124,PUDAHUEL,Particular Subvencionado,7942,5.7
13124,PUDAHUEL,Servicio Local de Educación,4141,5.7
13125,QUILICURA,Municipal,2355,5.6
13125,QUILICURA,Particular Pagado,1007,6.3
13125,QUILICURA,Particular Subvencionado,11663,5.7
13126,QUINTA NORMAL,Municipal,3881,5.6
13126,QUINTA NORMAL,Particular Subvencionado,5777,5.7
13127,RECOLETA,Municipal,3295,5.8
13127,RECOLETA,Particular Pagado,546,6.3
13127,RECOLETA,Particular Subvencionado,7518,5.7
13128,RENCA,Municipal,2924,5.7
13128,RENCA,Particular Subvencionado,6145,5.6
13129,SAN JOAQUÍN,Particular Subvencionado,2323,5.6
13129,SAN JOAQUÍN,Servicio Local de Educación,1814,5.8
13130,SAN MIGUEL,Municipal,1298,5.9
13130,SAN MIGUEL,Particular Pagado,1041,6
13130,SAN MIGUEL,Particular Subvencionado,5687,5.9
13131,SAN RAMÓN,Municipal,1084,5.5
13131,SAN RAMÓN,Particular Subvencionado,4280,5.8
13132,VITACURA,Municipal,970,5.9
13132,VITACURA,Particular Pagado,6769,6.1
13132,VITACURA,Particular Subvencionado,185,5.9
