"","codigo_comuna","nombre_comuna","TipoEstablecimiento","n_estudiantes","promedio"
"1",1101,"IQUIQUE","Municipal",5515,5.8
"2",1101,"IQUIQUE","Particular Pagado",1546,6.1
"3",1101,"IQUIQUE","Particular Subvencionado",9123,5.9
"4",1107,"ALTO HOSPICIO","Particular Subvencionado",10906,5.7
"5",1401,"POZO ALMONTE","Municipal",1282,5.8
"6",1401,"POZO ALMONTE","Particular Subvencionado",174,6
"7",1402,"CAMIÑA","Municipal",133,5.7
"8",1403,"COLCHANE","Municipal",85,5.7
"9",1404,"HUARA","Municipal",246,5.9
"10",1405,"PICA","Municipal",649,6
"11",2101,"ANTOFAGASTA","Municipal",14221,5.6
"12",2101,"ANTOFAGASTA","Particular Pagado",3208,6.2
"13",2101,"ANTOFAGASTA","Particular Subvencionado",10608,5.9
"14",2102,"MEJILLONES","Municipal",1269,5.8
"15",2103,"SIERRA GORDA","Municipal",149,5.8
"16",2104,"TALTAL","Municipal",960,6.1
"17",2201,"CALAMA","Municipal",7850,5.8
"18",2201,"CALAMA","Particular Pagado",1153,6.2
"19",2201,"CALAMA","Particular Subvencionado",4917,5.9
"20",2202,"OLLAGÜE","Municipal",22,5.9
"21",2203,"SAN PEDRO DE ATACAMA","Municipal",812,5.9
"22",2301,"TOCOPILLA","Municipal",1673,5.9
"23",2301,"TOCOPILLA","Particular Subvencionado",363,6.1
"24",2302,"MARÍA ELENA","Municipal",362,5.8
"25",3101,"COPIAPÓ","Particular Pagado",1247,6.2
"26",3101,"COPIAPÓ","Particular Subvencionado",4090,5.9
"27",3101,"COPIAPÓ","Servicio Local de Educación",7598,5.7
"28",3102,"CALDERA","Particular Subvencionado",647,6.1
"29",3102,"CALDERA","Servicio Local de Educación",844,6
"30",3103,"TIERRA AMARILLA","Particular Subvencionado",52,5.5
"31",3103,"TIERRA AMARILLA","Servicio Local de Educación",774,5.7
"32",3201,"CHAÑARAL","Particular Subvencionado",102,5.7
"33",3201,"CHAÑARAL","Servicio Local de Educación",890,5.8
