"","codigo_comuna","nombre_comuna","SituacionFinal","n_estudiantes"
"1",1101,"IQUIQUE","Promovido",15544
"2",1101,"IQUIQUE","Reprobado",197
"3",1101,"IQUIQUE","Retirado",1514
"4",1107,"ALTO HOSPICIO","Promovido",10982
"5",1107,"ALTO HOSPICIO","Reprobado",260
"6",1107,"ALTO HOSPICIO","Retirado",749
"7",1401,"POZO ALMONTE","Promovido",1431
"8",1401,"POZO ALMONTE","Reprobado",11
"9",1401,"POZO ALMONTE","Retirado",81
"10",1402,"CAMIÑA","Promovido",122
"11",1402,"CAMIÑA","Retirado",5
"12",1403,"COLCHANE","Promovido",82
"13",1403,"COLCHANE","Reprobado",2
"14",1403,"COLCHANE","Retirado",22
"15",1404,"HUARA","Promovido",231
"16",1404,"HUARA","Reprobado",2
"17",1404,"HUARA","Retirado",18
"18",1405,"PICA","Promovido",597
"19",1405,"PICA","Reprobado",8
"20",1405,"PICA","Retirado",30
"21",2101,"ANTOFAGASTA","Promovido",27458
"22",2101,"ANTOFAGASTA","Reprobado",637
"23",2101,"ANTOFAGASTA","Retirado",1912
"24",2102,"MEJILLONES","Promovido",1238
"25",2102,"MEJILLONES","Reprobado",24
"26",2102,"MEJILLONES","Retirado",72
"27",2103,"SIERRA GORDA","Promovido",137
"28",2103,"SIERRA GORDA","Retirado",13
"29",2104,"TALTAL","Promovido",947
"30",2104,"TALTAL","Reprobado",3
"31",2104,"TALTAL","Retirado",63
"32",2201,"CALAMA","Promovido",13978
"33",2201,"CALAMA","Reprobado",109
"34",2201,"CALAMA","Retirado",1009
"35",2202,"OLLAGÜE","Promovido",24
"36",2202,"OLLAGÜE","Reprobado",1
"37",2202,"OLLAGÜE","Retirado",1
"38",2203,"SAN PEDRO DE ATACAMA","Promovido",740
"39",2203,"SAN PEDRO DE ATACAMA","Reprobado",7
"40",2203,"SAN PEDRO DE ATACAMA","Retirado",59
"41",2301,"TOCOPILLA","Promovido",2087
"42",2301,"TOCOPILLA","Reprobado",35
"43",2301,"TOCOPILLA","Retirado",146
"44",2302,"MARÍA ELENA","Promovido",356
"45",2302,"MARÍA ELENA","Reprobado",10
"46",2302,"MARÍA ELENA","Retirado",16
"47",3101,"COPIAPÓ","Promovido",13023
"48",3101,"COPIAPÓ","Reprobado",219
"49",3101,"COPIAPÓ","Retirado",886
"50",3102,"CALDERA","Promovido",1476
"51",3102,"CALDERA","Reprobado",5
"52",3102,"CALDERA","Retirado",99
"53",3103,"TIERRA AMARILLA","Promovido",836
"54",3103,"TIERRA AMARILLA","Reprobado",17
"55",3103,"TIERRA AMARILLA","Retirado",91
"56",3201,"CHAÑARAL","Promovido",996
"57",3201,"CHAÑARAL","Reprobado",19
"58",3201,"CHAÑARAL","Retirado",66
"59",3202,"DIEGO DE ALMAGRO","Promovido",1073
"60",3202,"DIEGO DE ALMAGRO","Reprobado",2
"61",3202,"DIEGO DE ALMAGRO","Retirado",94
"62",3301,"VALLENAR","Promovido",4271
"63",3301,"VALLENAR","Reprobado",48
"64",3301,"VALLENAR","Retirado",235
"65",3302,"ALTO DEL CARMEN","Promovido",330
"66",3302,"ALTO DEL CARMEN","Reprobado",5
"67",3302,"ALTO DEL CARMEN","Retirado",24
"68",3303,"FREIRINA","Promovido",585
"69",3303,"FREIRINA","Reprobado",6
"70",3303,"FREIRINA","Retirado",47
"71",3304,"HUASCO","Promovido",856
"72",3304,"HUASCO","Reprobado",2
"73",3304,"HUASCO","Retirado",63
"74",4101,"LA SERENA","Promovido",20843
"75",4101,"LA SERENA","Reprobado",204
"76",4101,"LA SERENA","Retirado",1673
"77",4101,"LA SERENA",NA,1
"78",4102,"COQUIMBO","Promovido",17177
"79",4102,"COQUIMBO","Reprobado",210
"80",4102,"COQUIMBO","Retirado",1481
"81",4103,"ANDACOLLO","Promovido",807
"82",4103,"ANDACOLLO","Reprobado",5
"83",4103,"ANDACOLLO","Retirado",49
"84",4104,"LA HIGUERA","Promovido",367
"85",4104,"LA HIGUERA","Reprobado",11
"86",4104,"LA HIGUERA","Retirado",18
"87",4105,"PAIGUANO","Promovido",325
"88",4105,"PAIGUANO","Reprobado",1
"89",4105,"PAIGUANO","Retirado",29
"90",4106,"VICUÑA","Promovido",2054
"91",4106,"VICUÑA","Reprobado",16
"92",4106,"VICUÑA","Retirado",209
