codigo_comuna,nombre_comuna,SituacionFinal,n_estudiantes
13101,SANTIAGO,Promovido,21502
13101,SANTIAGO,Reprobado,344
13101,SANTIAGO,Retirado,1836
13102,CERRILLOS,Promovido,4710
13102,CERRILLOS,Reprobado,112
13102,CERRILLOS,Retirado,422
13103,CERRO NAVIA,Promovido,7035
13103,CERRO NAVIA,Reprobado,263
13103,CERRO NAVIA,Retirado,673
13104,CONCHALÍ,Promovido,8944
13104,CONCHALÍ,Reprobado,353
13104,CONCHALÍ,Retirado,837
13105,EL BOSQUE,Promovido,14007
13105,EL BOSQUE,Reprobado,457
13105,EL BOSQUE,Retirado,1381
13106,ESTACIÓN CENTRAL,Promovido,9569
13106,ESTACIÓN CENTRAL,Reprobado,283
13106,ESTACIÓN CENTRAL,Retirado,968
13107,HUECHURABA,Promovido,5998
13107,HUECHURABA,Reprobado,125
13107,HUECHURABA,Retirado,302
13108,INDEPENDENCIA,Promovido,7182
13108,INDEPENDENCIA,Reprobado,154
13108,INDEPENDENCIA,Retirado,1285
13109,LA CISTERNA,Promovido,8401
13109,LA CISTERNA,Reprobado,178
13109,LA CISTERNA,Retirado,716
13110,LA FLORIDA,Promovido,28295
13110,LA FLORIDA,Reprobado,795
13110,LA FLORIDA,Retirado,2452
13110,LA FLORIDA,NA,1
13111,LA GRANJA,Promovido,7648
13111,LA GRANJA,Reprobado,238
13111,LA GRANJA,Retirado,661
13112,LA PINTANA,Promovido,13294
13112,LA PINTANA,Reprobado,648
13112,LA PINTANA,Retirado,1549
13113,LA REINA,Promovido,8442
13113,LA REINA,Reprobado,171
13113,LA REINA,Retirado,567
13114,LAS CONDES,Promovido,13943
13114,LAS CONDES,Reprobado,111
13114,LAS CONDES,Retirado,510
13115,LO BARNECHEA,Promovido,7952
13115,LO BARNECHEA,Reprobado,70
13115,LO BARNECHEA,Retirado,250
13116,LO ESPEJO,Promovido,4802
13116,LO ESPEJO,Reprobado,199
13116,LO ESPEJO,Retirado,558
13117,LO PRADO,Promovido,5098
13117,LO PRADO,Reprobado,158
13117,LO PRADO,Retirado,459
13118,MACUL,Promovido,6111
13118,MACUL,Reprobado,141
13118,MACUL,Retirado,437
13119,MAIPÚ,Promovido,34673
13119,MAIPÚ,Reprobado,814
13119,MAIPÚ,Retirado,2608
13119,MAIPÚ,NA,1
13120,ÑUÑOA,Promovido,11664
13120,ÑUÑOA,Reprobado,133
13120,ÑUÑOA,Retirado,976
13121,PEDRO AGUIRRE CERDA,Promovido,6787
13121,PEDRO AGUIRRE CERDA,Reprobado,157
13121,PEDRO AGUIRRE CERDA,Retirado,583
13122,PEÑALOLÉN,Promovido,14411
13122,PEÑALOLÉN,Reprobado,370
13122,PEÑALOLÉN,Retirado,1039
13123,PROVIDENCIA,Promovido,9478
13123,PROVIDENCIA,Reprobado,35
13123,PROVIDENCIA,Retirado,1339
13123,PROVIDENCIA,NA,1
13124,PUDAHUEL,Promovido,13484
13124,PUDAHUEL,Reprobado,302
13124,PUDAHUEL,Retirado,1096
13125,QUILICURA,Promovido,15944
13125,QUILICURA,Reprobado,531
13125,QUILICURA,Retirado,1085
13126,QUINTA NORMAL,Promovido,9671
13126,QUINTA NORMAL,Reprobado,226
13126,QUINTA NORMAL,Retirado,759
13127,RECOLETA,Promovido,11561
13127,RECOLETA,Reprobado,284
13127,RECOLETA,Retirado,1104
13128,RENCA,Promovido,9611
13128,RENCA,Reprobado,303
13128,RENCA,Retirado,871
13129,SAN JOAQUÍN,Promovido,4038
13129,SAN JOAQUÍN,Reprobado,184
13129,SAN JOAQUÍN,Retirado,405
13130,SAN MIGUEL,Promovido,7608
13130,SAN MIGUEL,Reprobado,115
13130,SAN MIGUEL,Retirado,794
13131,SAN RAMÓN,Promovido,5438
13131,SAN RAMÓN,Reprobado,212
13131,SAN RAMÓN,Retirado,721
13132,VITACURA,Promovido,7778
13132,VITACURA,Reprobado,39
13132,VITACURA,Retirado,168
