codigo_comuna,nombre_comuna,TipoEstablecimiento,n_estudiantes,promedio
13101,SANTIAGO,Municipal,7505,5.1
13101,SANTIAGO,Particular Pagado,3436,5.5
13101,SANTIAGO,Particular Subvencionado,11323,5.3
13102,CERRILLOS,Municipal,1609,5
13102,CERRILLOS,Particular Subvencionado,3174,4.9
13103,CERRO NAVIA,Particular Subvencionado,4448,5.2
13103,CERRO NAVIA,Servicio Local de Educación,2785,4.7
13104,CONCHALÍ,Municipal,3604,4.9
13104,CONCHALÍ,Particular Pagado,130,5.9
13104,CONCHALÍ,Particular Subvencionado,5605,5.1
13105,EL BOSQUE,Municipal,2831,5.1
13105,EL BOSQUE,Particular Pagado,260,5.7
13105,EL BOSQUE,Particular Subvencionado,10752,5.4
13106,ESTACIÓN CENTRAL,Municipal,3815,5
13106,ESTACIÓN CENTRAL,Particular Pagado,718,5.9
13106,ESTACIÓN CENTRAL,Particular Subvencionado,5513,5.3
13107,HUECHURABA,Municipal,1498,5.1
13107,HUECHURABA,Particular Pagado,2639,5.7
13107,HUECHURABA,Particular Subvencionado,1779,5.1
13108,INDEPENDENCIA,Municipal,2312,4.8
13108,INDEPENDENCIA,Particular Pagado,382,5.5
13108,INDEPENDENCIA,Particular Subvencionado,4716,5.3
13109,LA CISTERNA,Municipal,1062,5.1
13109,LA CISTERNA,Particular Pagado,300,5.1
13109,LA CISTERNA,Particular Subvencionado,7338,5.1
13110,LA FLORIDA,Municipal,4485,5.2
13110,LA FLORIDA,Particular Pagado,3136,5.4
13110,LA FLORIDA,Particular Subvencionado,20301,5.3
13111,LA GRANJA,Particular Subvencionado,5534,5.3
13111,LA GRANJA,Servicio Local de Educación,2295,4.7
13112,LA PINTANA,Municipal,2067,4.9
13112,LA PINTANA,Particular Subvencionado,11512,5
13113,LA REINA,Municipal,1388,4.9
13113,LA REINA,Particular Pagado,4761,5.5
13113,LA REINA,Particular Subvencionado,2692,5.5
13114,LAS CONDES,Municipal,1630,5.2
13114,LAS CONDES,Particular Pagado,10572,5.5
13114,LAS CONDES,Particular Subvencionado,1847,5.2
13115,LO BARNECHEA,Municipal,482,5.4
13115,LO BARNECHEA,Particular Pagado,6052,5.6
13115,LO BARNECHEA,Particular Subvencionado,1625,5.7
13116,LO ESPEJO,Municipal,1895,5
13116,LO ESPEJO,Particular Subvencionado,2905,5.1
13117,LO PRADO,Particular Subvencionado,3187,5.3
13117,LO PRADO,Servicio Local de Educación,2270,4.8
13118,MACUL,Particular Pagado,850,6
13118,MACUL,Particular Subvencionado,3705,5.4
13118,MACUL,Servicio Local de Educación,1731,5.2
13119,MAIPÚ,Corporación de Administración Delegada,194,5.7
13119,MAIPÚ,Municipal,6277,5.1
13119,MAIPÚ,Particular Pagado,1513,5.3
13119,MAIPÚ,Particular Subvencionado,26330,5.4
13120,ÑUÑOA,Municipal,4248,5.1
13120,ÑUÑOA,Particular Pagado,5166,5.1
13120,ÑUÑOA,Particular Subvencionado,2519,5.3
13121,PEDRO AGUIRRE CERDA,Municipal,1872,4.8
13121,PEDRO AGUIRRE CERDA,Particular Subvencionado,5110,5.3
13122,PEÑALOLÉN,Municipal,3320,5.1
13122,PEÑALOLÉN,Particular Pagado,4666,5.3
13122,PEÑALOLÉN,Particular Subvencionado,6631,5.4
13123,PROVIDENCIA,Municipal,2300,5.6
13123,PROVIDENCIA,Particular Pagado,5751,4.6
13123,PROVIDENCIA,Particular Subvencionado,1302,5.6
13124,PUDAHUEL,Particular Pagado,593,5.6
13124,PUDAHUEL,Particular Subvencionado,8316,5.5
13124,PUDAHUEL,Servicio Local de Educación,4528,4.9
13125,QUILICURA,Municipal,2729,4.4
13125,QUILICURA,Particular Pagado,952,5.5
13125,QUILICURA,Particular Subvencionado,12311,5.3
13126,QUINTA NORMAL,Municipal,3883,5
13126,QUINTA NORMAL,Particular Subvencionado,6075,5.3
13127,RECOLETA,Municipal,3504,4.9
13127,RECOLETA,Particular Pagado,588,5.5
13127,RECOLETA,Particular Subvencionado,7945,5.4
13128,RENCA,Municipal,3228,4.1
13128,RENCA,Particular Subvencionado,6531,5.1
13129,SAN JOAQUÍN,Particular Subvencionado,2417,5.2
13129,SAN JOAQUÍN,Servicio Local de Educación,1933,4.7
13130,SAN MIGUEL,Municipal,1343,4.4
13130,SAN MIGUEL,Particular Pagado,1001,5
13130,SAN MIGUEL,Particular Subvencionado,5790,5
13131,SAN RAMÓN,Municipal,1101,4.6
13131,SAN RAMÓN,Particular Subvencionado,4414,5.1
13132,VITACURA,Municipal,975,4.6
13132,VITACURA,Particular Pagado,6783,5.1
13132,VITACURA,Particular Subvencionado,196,6.2
