"codigo_comuna","nombre_comuna","TipoEstablecimiento","n_estudiantes","promedio"
13101,"SANTIAGO","Municipal",7672,55.9400417101147
13101,"SANTIAGO","Particular Pagado",3243,59.3330249768733
13101,"SANTIAGO","Particular Subvencionado",11243,57.9460108511963
13102,"CERRILLOS","Municipal",1651,54.2870987280436
13102,"CERRILLOS","Particular Subvencionado",3162,56.2662871600253
13103,"CERRO NAVIA","Particular Subvencionado",4399,57.0888838372357
13103,"CERRO NAVIA","Servicio Local de Educación",2737,54.3803434417245
13104,"CONCHALÍ","Municipal",3480,54.9954022988506
13104,"CONCHALÍ","Particular Pagado",123,58.1056910569106
13104,"CONCHALÍ","Particular Subvencionado",5440,57.6542279411765
13105,"EL BOSQUE","Municipal",2689,53.9914466344365
13105,"EL BOSQUE","Particular Pagado",231,52.2943722943723
13105,"EL BOSQUE","Particular Subvencionado",10449,56.9123361087185
13106,"ESTACIÓN CENTRAL","Municipal",3813,54.7466561762391
13106,"ESTACIÓN CENTRAL","Particular Pagado",683,62.3221083455344
13106,"ESTACIÓN CENTRAL","Particular Subvencionado",5369,56.5758986775936
13107,"HUECHURABA","Municipal",1485,55.7468013468013
13107,"HUECHURABA","Particular Pagado",2557,59.9749706687524
13107,"HUECHURABA","Particular Subvencionado",1731,56.7856730213749
13108,"INDEPENDENCIA","Municipal",2394,54.8070175438597
13108,"INDEPENDENCIA","Particular Pagado",298,59.5302013422819
13108,"INDEPENDENCIA","Particular Subvencionado",4670,57.7612419700214
13109,"LA CISTERNA","Municipal",1079,54.9666357738647
13109,"LA CISTERNA","Particular Pagado",214,58.9439252336448
13109,"LA CISTERNA","Particular Subvencionado",7297,57.8476086062766
13110,"LA FLORIDA","Municipal",4411,54.6259351620948
13110,"LA FLORIDA","Particular Pagado",2900,57.7844827586207
13110,"LA FLORIDA","Particular Subvencionado",20189,56.8164346921591
13111,"LA GRANJA","Particular Subvencionado",5491,55.3514842469496
13111,"LA GRANJA","Servicio Local de Educación",2212,53.3336347197107
13112,"LA PINTANA","Municipal",2012,52.4885685884692
13112,"LA PINTANA","Particular Subvencionado",11187,54.7059980334317
13113,"LA REINA","Municipal",1444,55.7202216066482
13113,"LA REINA","Particular Pagado",4723,61.0709294939657
13113,"LA REINA","Particular Subvencionado",2708,57.0649926144756
13114,"LAS CONDES","Municipal",2031,58.602658788774
13114,"LAS CONDES","Particular Pagado",10437,61.3976238382677
13114,"LAS CONDES","Particular Subvencionado",1821,57.8077979132345
13115,"LO BARNECHEA","Municipal",464,56.3987068965517
13115,"LO BARNECHEA","Particular Pagado",6141,60.9163002768279
13115,"LO BARNECHEA","Particular Subvencionado",1603,55.7910168434185
13116,"LO ESPEJO","Municipal",1802,52.0166481687015
13116,"LO ESPEJO","Particular Subvencionado",2863,55.5061124694377
13117,"LO PRADO","Particular Subvencionado",3099,58.1542433042917
13117,"LO PRADO","Servicio Local de Educación",2163,54.4854368932039
13118,"MACUL","Particular Pagado",831,62.4620938628159
13118,"MACUL","Particular Subvencionado",3803,57.2434919800158
13118,"MACUL","Servicio Local de Educación",1756,56.5301822323462
13119,"MAIPÚ","Corporación de Administración Delegada",166,56.9879518072289
13119,"MAIPÚ","Municipal",6237,56.3670033670034
13119,"MAIPÚ","Particular Pagado",1383,59.6724511930586
13119,"MAIPÚ","Particular Subvencionado",25773,57.775307492337
13120,"ÑUÑOA","Municipal",4220,58.6559241706161
13120,"ÑUÑOA","Particular Pagado",5051,56.931894674322
13120,"ÑUÑOA","Particular Subvencionado",2314,56.4369057908384
13121,"PEDRO AGUIRRE CERDA","Municipal",1826,53.0142387732749
13121,"PEDRO AGUIRRE CERDA","Particular Subvencionado",5106,56.4641598119859
13122,"PEÑALOLÉN","Municipal",3286,53.5760803408399
13122,"PEÑALOLÉN","Particular Pagado",4723,59.5066694897311
13122,"PEÑALOLÉN","Particular Subvencionado",6534,56.9565350474442
13123,"PROVIDENCIA","Municipal",2250,58.6582222222222
13123,"PROVIDENCIA","Particular Pagado",5604,57.4304068522483
13123,"PROVIDENCIA","Particular Subvencionado",1343,60.1846612062547
13124,"PUDAHUEL","Particular Pagado",618,62.3462783171521
13124,"PUDAHUEL","Particular Subvencionado",8267,56.7139228256926
13124,"PUDAHUEL","Servicio Local de Educación",4411,54.8970754930855
13125,"QUILICURA","Municipal",2470,52.4854251012146
13125,"QUILICURA","Particular Pagado",930,59.2322580645161
13125,"QUILICURA","Particular Subvencionado",12140,56.386820428336
13126,"QUINTA NORMAL","Municipal",3848,54.9521829521829
13126,"QUINTA NORMAL","Particular Subvencionado",6134,56.9075643951744
13127,"RECOLETA","Municipal",3362,54.8563355145746
13127,"RECOLETA","Particular Pagado",545,61.6623853211009
13127,"RECOLETA","Particular Subvencionado",7779,56.706388996015
13128,"RENCA","Municipal",3109,53.9372788678032
13128,"RENCA","Particular Subvencionado",6375,55.6823529411765
13129,"SAN JOAQUÍN","Particular Subvencionado",2354,55.8372982158029
13129,"SAN JOAQUÍN","Servicio Local de Educación",1911,57.101517530089
13130,"SAN MIGUEL","Municipal",1363,57.1041819515774
13130,"SAN MIGUEL","Particular Pagado",957,58.9707419017764
13130,"SAN MIGUEL","Particular Subvencionado",5781,56.4161909704204
13131,"SAN RAMÓN","Municipal",1069,52.1655753040224
13131,"SAN RAMÓN","Particular Subvencionado",4410,56.8539682539683
13132,"VITACURA","Municipal",957,58.7241379310345
13132,"VITACURA","Particular Pagado",6653,59.1845783856904
13132,"VITACURA","Particular Subvencionado",188,60.4840425531915
