codigo_comuna,nombre_comuna,TipoEstablecimiento,n_estudiantes,promedio
13101,SANTIAGO,Municipal,7725,5.8
13101,SANTIAGO,Particular Pagado,3249,6.2
13101,SANTIAGO,Particular Subvencionado,11316,5.9
13102,CERRILLOS,Municipal,1757,5.6
13102,CERRILLOS,Particular Subvencionado,3241,5.6
13103,CERRO NAVIA,Particular Subvencionado,4195,5.8
13103,CERRO NAVIA,Servicio Local de Educación,2845,5.5
13104,CONCHALÍ,Municipal,3455,5.6
13104,CONCHALÍ,Particular Pagado,133,5.8
13104,CONCHALÍ,Particular Subvencionado,5379,5.8
13105,EL BOSQUE,Municipal,2581,5.4
13105,EL BOSQUE,Particular Pagado,243,6
13105,EL BOSQUE,Particular Subvencionado,10296,5.7
13106,ESTACIÓN CENTRAL,Municipal,3885,5.7
13106,ESTACIÓN CENTRAL,Particular Pagado,720,6.1
13106,ESTACIÓN CENTRAL,Particular Subvencionado,5368,5.9
13107,HUECHURABA,Municipal,1502,5.6
13107,HUECHURABA,Particular Pagado,2587,6.2
13107,HUECHURABA,Particular Subvencionado,1682,5.8
13108,INDEPENDENCIA,Municipal,2339,5.7
13108,INDEPENDENCIA,Particular Pagado,327,6.2
13108,INDEPENDENCIA,Particular Subvencionado,4682,5.7
13109,LA CISTERNA,Municipal,1289,5.8
13109,LA CISTERNA,Particular Pagado,103,6
13109,LA CISTERNA,Particular Subvencionado,7045,6
13110,LA FLORIDA,Municipal,4306,5.6
13110,LA FLORIDA,Particular Pagado,2572,6.2
13110,LA FLORIDA,Particular Subvencionado,19120,5.8
13111,LA GRANJA,Particular Subvencionado,5412,5.6
13111,LA GRANJA,Servicio Local de Educación,2130,5.5
13112,LA PINTANA,Municipal,2062,5.4
13112,LA PINTANA,Particular Subvencionado,10790,5.6
13113,LA REINA,Municipal,1352,5.8
13113,LA REINA,Particular Pagado,4703,6.1
13113,LA REINA,Particular Subvencionado,2662,5.8
13114,LAS CONDES,Municipal,2041,5.9
13114,LAS CONDES,Particular Pagado,10580,6.2
13114,LAS CONDES,Particular Subvencionado,1801,5.9
13115,LO BARNECHEA,Municipal,445,5.5
13115,LO BARNECHEA,Particular Pagado,6153,6.1
13115,LO BARNECHEA,Particular Subvencionado,1572,5.6
13116,LO ESPEJO,Municipal,1712,5.5
13116,LO ESPEJO,Particular Subvencionado,2775,5.6
13117,LO PRADO,Particular Subvencionado,3125,5.7
13117,LO PRADO,Servicio Local de Educación,2249,5.5
13118,MACUL,Particular Pagado,884,6.1
13118,MACUL,Particular Subvencionado,3783,5.8
13118,MACUL,Servicio Local de Educación,1722,5.8
13119,MAIPÚ,Corporación de Administración Delegada,187,5.7
13119,MAIPÚ,Municipal,6046,5.7
13119,MAIPÚ,Particular Pagado,1426,6.2
13119,MAIPÚ,Particular Subvencionado,25063,5.9
13120,ÑUÑOA,Municipal,4227,5.9
13120,ÑUÑOA,Particular Pagado,5167,6
13120,ÑUÑOA,Particular Subvencionado,2227,5.9
13121,PEDRO AGUIRRE CERDA,Municipal,1821,5.5
13121,PEDRO AGUIRRE CERDA,Particular Subvencionado,4979,5.7
13122,PEÑALOLÉN,Municipal,3090,5.5
13122,PEÑALOLÉN,Particular Pagado,4998,6
13122,PEÑALOLÉN,Particular Subvencionado,6395,5.7
13123,PROVIDENCIA,Municipal,2224,6
13123,PROVIDENCIA,Particular Pagado,5644,5.9
13123,PROVIDENCIA,Particular Subvencionado,1327,6.1
13124,PUDAHUEL,Particular Pagado,694,6.3
13124,PUDAHUEL,Particular Subvencionado,8104,5.8
13124,PUDAHUEL,Servicio Local de Educación,4344,5.7
13125,QUILICURA,Municipal,2475,5.6
13125,QUILICURA,Particular Pagado,984,6.3
13125,QUILICURA,Particular Subvencionado,11871,5.7
13126,QUINTA NORMAL,Municipal,3967,5.7
13126,QUINTA NORMAL,Particular Subvencionado,5895,5.7
13127,RECOLETA,Municipal,3467,5.8
13127,RECOLETA,Particular Pagado,548,6.3
13127,RECOLETA,Particular Subvencionado,7621,5.8
13128,RENCA,Municipal,3112,5.7
13128,RENCA,Particular Subvencionado,6300,5.6
13129,SAN JOAQUÍN,Particular Subvencionado,2363,5.8
13129,SAN JOAQUÍN,Servicio Local de Educación,1849,5.9
13130,SAN MIGUEL,Municipal,1317,5.8
13130,SAN MIGUEL,Particular Pagado,1018,6.1
13130,SAN MIGUEL,Particular Subvencionado,5705,5.9
13131,SAN RAMÓN,Municipal,1110,5.6
13131,SAN RAMÓN,Particular Subvencionado,4343,5.7
13132,VITACURA,Municipal,930,5.9
13132,VITACURA,Particular Pagado,6657,6.2
13132,VITACURA,Particular Subvencionado,186,6
