"","codigo_comuna","nombre_comuna","TipoEstablecimiento","n_estudiantes","promedio"
"1",1101,"IQUIQUE","Municipal",4774,5.5
"2",1101,"IQUIQUE","Particular Pagado",1400,6.2
"3",1101,"IQUIQUE","Particular Subvencionado",9511,5.8
"4",1107,"ALTO HOSPICIO","Municipal",372,5.2
"5",1107,"ALTO HOSPICIO","Particular Subvencionado",10018,5.5
"6",1401,"POZO ALMONTE","Municipal",1213,5.6
"7",1401,"POZO ALMONTE","Particular Subvencionado",165,5.7
"8",1402,"CAMIÑA","Municipal",106,6
"9",1403,"COLCHANE","Municipal",51,5.8
"10",1404,"HUARA","Municipal",223,5.7
"11",1405,"PICA","Municipal",493,5.6
"12",2101,"ANTOFAGASTA","Municipal",14455,5.5
"13",2101,"ANTOFAGASTA","Particular Pagado",3095,6.1
"14",2101,"ANTOFAGASTA","Particular Subvencionado",11189,5.7
"15",2102,"MEJILLONES","Municipal",1060,5.4
"16",2103,"SIERRA GORDA","Municipal",132,5.6
"17",2104,"TALTAL","Municipal",991,6
"18",2201,"CALAMA","Municipal",7574,5.6
"19",2201,"CALAMA","Particular Pagado",1244,6.1
"20",2201,"CALAMA","Particular Subvencionado",5137,5.7
"21",2202,"OLLAGÜE","Municipal",21,5.8
"22",2203,"SAN PEDRO DE ATACAMA","Municipal",714,5.6
"23",2301,"TOCOPILLA","Municipal",1848,5.6
"24",2301,"TOCOPILLA","Particular Subvencionado",393,5.9
"25",2302,"MARÍA ELENA","Municipal",381,5.4
"26",3101,"COPIAPÓ","Municipal",8199,5.4
"27",3101,"COPIAPÓ","Particular Pagado",1138,6
"28",3101,"COPIAPÓ","Particular Subvencionado",4188,5.7
"29",3102,"CALDERA","Municipal",924,5.6
"30",3102,"CALDERA","Particular Subvencionado",645,5.6
"31",3103,"TIERRA AMARILLA","Municipal",981,5.5
"32",3103,"TIERRA AMARILLA","Particular Subvencionado",47,5.7
"33",3201,"CHAÑARAL","Municipal",1043,5.7
"34",3201,"CHAÑARAL","Particular Subvencionado",113,5.9
"35",3202,"DIEGO DE ALMAGRO","Municipal",655,5.7
"36",3202,"DIEGO DE ALMAGRO","Particular Subvencionado",652,5.9
"37",3301,"VALLENAR","Particular Pagado",147,5.8
"38",3301,"VALLENAR","Particular Subvencionado",844,6
"39",3301,"VALLENAR","Servicio Local de Educación",3273,5.7
"40",3302,"ALTO DEL CARMEN","Servicio Local de Educación",360,5.9
"41",3303,"FREIRINA","Servicio Local de Educación",513,5.6
"42",3304,"HUASCO","Particular Subvencionado",154,5.8
"43",3304,"HUASCO","Servicio Local de Educación",684,5.8
"44",4101,"LA SERENA","Municipal",4915,5.4
"45",4101,"LA SERENA","Particular Pagado",3614,6
"46",4101,"LA SERENA","Particular Subvencionado",11375,5.6
"47",4102,"COQUIMBO","Particular Pagado",754,6
"48",4102,"COQUIMBO","Particular Subvencionado",11057,5.6
"49",4102,"COQUIMBO","Servicio Local de Educación",4602,5.4
"50",4103,"ANDACOLLO","Particular Subvencionado",496,5.7
"51",4103,"ANDACOLLO","Servicio Local de Educación",401,5.6
"52",4104,"LA HIGUERA","Municipal",356,5.5
"53",4105,"PAIGUANO","Municipal",321,5.5
"54",4106,"VICUÑA","Municipal",1147,5.4
"55",4106,"VICUÑA","Particular Subvencionado",1061,5.8
"56",4201,"ILLAPEL","Municipal",1382,5.6
"57",4201,"ILLAPEL","Particular Subvencionado",1016,5.7
"58",4202,"CANELA","Municipal",561,5.9
"59",4202,"CANELA","Particular Subvencionado",9,5.2
"60",4203,"LOS VILOS","Municipal",837,5.8
"61",4203,"LOS VILOS","Particular Subvencionado",850,5.7
"62",4204,"SALAMANCA","Municipal",851,5.6
"63",4204,"SALAMANCA","Particular Subvencionado",1279,5.7
"64",4301,"OVALLE","Municipal",5091,5.4
"65",4301,"OVALLE","Particular Pagado",453,6
"66",4301,"OVALLE","Particular Subvencionado",3476,5.8
"67",4302,"COMBARBALÁ","Municipal",690,5.9
"68",4302,"COMBARBALÁ","Particular Subvencionado",151,5.8
"69",4303,"MONTE PATRIA","Municipal",2106,5.5
"70",4303,"MONTE PATRIA","Particular Subvencionado",316,5.6
"71",4304,"PUNITAQUI","Municipal",421,5.6
"72",4304,"PUNITAQUI","Particular Subvencionado",439,5.4
"73",4305,"RÍO HURTADO","Municipal",264,5.5
"74",5101,"VALPARAÍSO","Municipal",5895,5.4
"75",5101,"VALPARAÍSO","Particular Pagado",1709,5.9
"76",5101,"VALPARAÍSO","Particular Subvencionado",11013,5.6
"77",5102,"CASABLANCA","Municipal",664,5.3
"78",5102,"CASABLANCA","Particular Pagado",56,6
"79",5102,"CASABLANCA","Particular Subvencionado",1224,5.8
"80",5103,"CONCÓN","Municipal",623,5.5
"81",5103,"CONCÓN","Particular Pagado",966,6.1
"82",5103,"CONCÓN","Particular Subvencionado",1639,5.6
"83",5104,"JUAN FERNÁNDEZ","Municipal",73,5.9
"84",5105,"PUCHUNCAVÍ","Municipal",1028,5.5
"85",5105,"PUCHUNCAVÍ","Particular Subvencionado",112,5.4
"86",5107,"QUINTERO","Municipal",765,5.4
"87",5107,"QUINTERO","Particular Subvencionado",1450,5.4
"88",5109,"VIÑA DEL MAR","Municipal",5542,5.4
"89",5109,"VIÑA DEL MAR","Particular Pagado",4208,6.1
"90",5109,"VIÑA DEL MAR","Particular Subvencionado",11198,5.6
"91",5201,"ISLA DE PASCUA","Municipal",308,5.7
"92",5201,"ISLA DE PASCUA","Particular Subvencionado",289,5.7
"93",5301,"LOS ANDES","Municipal",1498,5.3
"94",5301,"LOS ANDES","Particular Pagado",875,6.1
"95",5301,"LOS ANDES","Particular Subvencionado",3528,5.6
"96",5302,"CALLE LARGA","Municipal",496,5.3
"97",5302,"CALLE LARGA","Particular Pagado",144,6.3
