"","codigo_comuna","nombre_comuna","Tipo de zona","n_estudiantes","promedio"
"1",1101,"IQUIQUE","Rural",391,5.9
"2",1101,"IQUIQUE","Urbano",15793,5.9
"3",1107,"ALTO HOSPICIO","Rural",2588,6
"4",1107,"ALTO HOSPICIO","Urbano",8318,5.6
"5",1401,"POZO ALMONTE","Rural",1456,5.8
"6",1402,"CAMIÑA","Rural",133,5.7
"7",1403,"COLCHANE","Rural",85,5.7
"8",1404,"HUARA","Rural",246,5.9
"9",1405,"PICA","Rural",649,6
"10",2101,"ANTOFAGASTA","Urbano",28037,5.8
"11",2102,"MEJILLONES","Rural",15,6.5
"12",2102,"MEJILLONES","Urbano",1254,5.8
"13",2103,"SIERRA GORDA","Urbano",149,5.8
"14",2104,"TALTAL","Rural",25,6.4
"15",2104,"TALTAL","Urbano",935,6.1
"16",2201,"CALAMA","Rural",106,5.9
"17",2201,"CALAMA","Urbano",13814,5.9
"18",2202,"OLLAGÜE","Rural",22,5.9
"19",2203,"SAN PEDRO DE ATACAMA","Rural",185,6.1
"20",2203,"SAN PEDRO DE ATACAMA","Urbano",627,5.8
"21",2301,"TOCOPILLA","Urbano",2036,5.9
"22",2302,"MARÍA ELENA","Rural",23,6.2
"23",2302,"MARÍA ELENA","Urbano",339,5.8
"24",3101,"COPIAPÓ","Rural",195,6.1
"25",3101,"COPIAPÓ","Urbano",12740,5.8
"26",3102,"CALDERA","Rural",4,6.6
"27",3102,"CALDERA","Urbano",1487,6
"28",3103,"TIERRA AMARILLA","Rural",118,5.5
"29",3103,"TIERRA AMARILLA","Urbano",708,5.7
"30",3201,"CHAÑARAL","Urbano",992,5.8
"31",3202,"DIEGO DE ALMAGRO","Rural",21,6.3
"32",3202,"DIEGO DE ALMAGRO","Urbano",976,6
"33",3301,"VALLENAR","Rural",153,6.1
"34",3301,"VALLENAR","Urbano",4121,5.9
"35",3302,"ALTO DEL CARMEN","Rural",314,5.8
"36",3303,"FREIRINA","Rural",118,6.1
"37",3303,"FREIRINA","Urbano",454,6
"38",3304,"HUASCO","Rural",32,5.6
"39",3304,"HUASCO","Urbano",792,6
"40",4101,"LA SERENA","Rural",986,5.8
"41",4101,"LA SERENA","Urbano",19505,5.9
"42",4102,"COQUIMBO","Rural",687,5.8
"43",4102,"COQUIMBO","Urbano",16455,5.9
"44",4103,"ANDACOLLO","Rural",185,5.9
"45",4103,"ANDACOLLO","Urbano",597,5.9
"46",4104,"LA HIGUERA","Rural",230,5.9
"47",4104,"LA HIGUERA","Urbano",128,5.8
"48",4105,"PAIGUANO","Rural",132,6.1
"49",4105,"PAIGUANO","Urbano",170,6
"50",4106,"VICUÑA","Rural",154,5.8
"51",4106,"VICUÑA","Urbano",1837,6
"52",4201,"ILLAPEL","Rural",587,5.9
"53",4201,"ILLAPEL","Urbano",1716,5.9
"54",4202,"CANELA","Rural",244,6
"55",4202,"CANELA","Urbano",330,6.3
"56",4203,"LOS VILOS","Rural",434,6
"57",4203,"LOS VILOS","Urbano",1279,6
"58",4204,"SALAMANCA","Rural",566,6
"59",4204,"SALAMANCA","Urbano",1461,6
"60",4301,"OVALLE","Rural",1366,5.8
"61",4301,"OVALLE","Urbano",7648,6
"62",4302,"COMBARBALÁ","Rural",330,6
"63",4302,"COMBARBALÁ","Urbano",462,6.3
"64",4303,"MONTE PATRIA","Rural",953,5.9
"65",4303,"MONTE PATRIA","Urbano",1296,5.9
"66",4304,"PUNITAQUI","Rural",232,5.9
"67",4304,"PUNITAQUI","Urbano",645,5.8
"68",4305,"RÍO HURTADO","Rural",223,5.9
"69",5101,"VALPARAÍSO","Urbano",17535,5.8
"70",5102,"CASABLANCA","Urbano",2131,6
"71",5103,"CONCÓN","Urbano",3423,6
"72",5104,"JUAN FERNÁNDEZ","Rural",72,5.9
"73",5105,"PUCHUNCAVÍ","Rural",415,5.5
"74",5105,"PUCHUNCAVÍ","Urbano",973,5.7
"75",5107,"QUINTERO","Rural",172,5.6
"76",5107,"QUINTERO","Urbano",2146,5.7
"77",5109,"VIÑA DEL MAR","Urbano",20439,5.8
"78",5201,"ISLA DE PASCUA","Urbano",643,5.8
"79",5301,"LOS ANDES","Rural",64,5.9
"80",5301,"LOS ANDES","Urbano",5462,5.9
"81",5302,"CALLE LARGA","Rural",171,6.1
"82",5302,"CALLE LARGA","Urbano",1041,6
"83",5303,"RINCONADA","Urbano",627,6
"84",5304,"SAN ESTEBAN","Rural",155,5.7
"85",5304,"SAN ESTEBAN","Urbano",625,5.9
"86",5401,"LA LIGUA","Rural",697,6
"87",5401,"LA LIGUA","Urbano",2077,5.9
"88",5402,"CABILDO","Rural",366,6.1
"89",5402,"CABILDO","Urbano",972,5.9
"90",5403,"PAPUDO","Rural",160,5.8
"91",5403,"PAPUDO","Urbano",266,6.1
"92",5404,"PETORCA","Rural",379,6.1
"93",5404,"PETORCA","Urbano",228,6.2
"94",5405,"ZAPALLAR","Rural",319,5.9
"95",5405,"ZAPALLAR","Urbano",412,6.1
"96",5501,"QUILLOTA","Rural",270,5.6
"97",5501,"QUILLOTA","Urbano",7203,5.9
"98",5502,"CALERA","Rural",134,6.1
"99",5502,"CALERA","Urbano",4071,6
"100",5503,"HIJUELAS","Rural",426,6.1
"101",5503,"HIJUELAS","Urbano",665,5.9
"102",5504,"LA CRUZ","Rural",167,6.2
"103",5504,"LA CRUZ","Urbano",547,6
"104",5506,"NOGALES","Rural",65,5.8
"105",5506,"NOGALES","Urbano",1248,5.8
"106",5601,"SAN ANTONIO","Rural",221,6
"107",5601,"SAN ANTONIO","Urbano",7136,5.8
"108",5602,"ALGARROBO","Rural",202,5.9
"109",5602,"ALGARROBO","Urbano",863,5.9
"110",5603,"CARTAGENA","Rural",138,6
"111",5603,"CARTAGENA","Urbano",1760,5.9
"112",5604,"EL QUISCO","Rural",180,6.2
"113",5604,"EL QUISCO","Urbano",794,6
"114",5605,"EL TABO","Urbano",616,5.7
"115",5606,"SANTO DOMINGO","Rural",406,6.2
"116",5606,"SANTO DOMINGO","Urbano",702,5.9
"117",5701,"SAN FELIPE","Rural",399,5.7
"118",5701,"SAN FELIPE","Urbano",5621,5.8
"119",5702,"CATEMU","Rural",388,5.8
"120",5702,"CATEMU","Urbano",433,5.8
"121",5703,"LLAILLAY","Rural",353,5.7
"122",5703,"LLAILLAY","Urbano",1807,5.9
"123",5704,"PANQUEHUE","Rural",156,6.2
"124",5704,"PANQUEHUE","Urbano",515,6
