codigo_comuna,nombre_comuna,ambito,n_denuncias
13101,SANTIAGO,CONVIVENCIA,6
13101,SANTIAGO,ENTREGA DEL SERVICIO EDUCATIVO EN EMERGENCIA SANITARIA POR COVID-2019,4
13101,SANTIAGO,GESTIÓN TÉCNICO-PEDAGÓGICA,3
13101,SANTIAGO,INFRAESTRUCTURA,1
13102,CERRILLOS,ADMISIÓN,1
13102,CERRILLOS,CONVIVENCIA,3
13103,CERRO NAVIA,CONVIVENCIA,2
13103,CERRO NAVIA,GESTIÓN TÉCNICO-PEDAGÓGICA,1
13104,CONCHALÍ,CONVIVENCIA,1
13104,CONCHALÍ,ENTREGA DEL SERVICIO EDUCATIVO EN EMERGENCIA SANITARIA POR COVID-2019,1
13104,CONCHALÍ,GESTIÓN DE RECURSOS FINANCIEROS,1
13104,CONCHALÍ,GESTIÓN TÉCNICO-PEDAGÓGICA,1
13106,ESTACIÓN CENTRAL,CONVIVENCIA,1
13107,HUECHURABA,ADMISIÓN,1
13107,HUECHURABA,CONVIVENCIA,1
13108,INDEPENDENCIA,CONVIVENCIA,1
13108,INDEPENDENCIA,ENTREGA DEL SERVICIO EDUCATIVO EN EMERGENCIA SANITARIA POR COVID-2019,1
13109,LA CISTERNA,CONVIVENCIA,3
13109,LA CISTERNA,ENTREGA DEL SERVICIO EDUCATIVO EN EMERGENCIA SANITARIA POR COVID-2019,2
13109,LA CISTERNA,GESTIÓN DE RECURSOS FINANCIEROS,3
13109,LA CISTERNA,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
13109,LA CISTERNA,SEGURIDAD E HIGIENE,1
13110,LA FLORIDA,ADMISIÓN,3
13110,LA FLORIDA,CONVIVENCIA,9
13110,LA FLORIDA,ENTREGA DEL SERVICIO EDUCATIVO EN EMERGENCIA SANITARIA POR COVID-2019,3
13110,LA FLORIDA,GESTIÓN DE RECURSOS FINANCIEROS,1
13110,LA FLORIDA,GESTIÓN TÉCNICO-PEDAGÓGICA,2
13111,LA GRANJA,CONVIVENCIA,2
13111,LA GRANJA,GESTIÓN TÉCNICO-PEDAGÓGICA,1
13112,LA PINTANA,CONVIVENCIA,3
13113,LA REINA,ADMISIÓN,1
13113,LA REINA,GESTIÓN TÉCNICO-PEDAGÓGICA,1
13114,LAS CONDES,CONVIVENCIA,4
13114,LAS CONDES,ENTREGA DEL SERVICIO EDUCATIVO EN EMERGENCIA SANITARIA POR COVID-2019,2
13114,LAS CONDES,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
13116,LO ESPEJO,CONVIVENCIA,1
13117,LO PRADO,CONVIVENCIA,2
13118,MACUL,ENTREGA DEL SERVICIO EDUCATIVO EN EMERGENCIA SANITARIA POR COVID-2019,2
13119,MAIPÚ,CONVIVENCIA,6
13119,MAIPÚ,ENTREGA DEL SERVICIO EDUCATIVO EN EMERGENCIA SANITARIA POR COVID-2019,6
13119,MAIPÚ,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
13119,MAIPÚ,GESTIÓN TÉCNICO-PEDAGÓGICA,1
13120,ÑUÑOA,ADMISIÓN,1
13120,ÑUÑOA,CONVIVENCIA,11
13120,ÑUÑOA,ENTREGA DEL SERVICIO EDUCATIVO EN EMERGENCIA SANITARIA POR COVID-2019,1
13120,ÑUÑOA,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
13120,ÑUÑOA,GESTIÓN TÉCNICO-PEDAGÓGICA,1
13120,ÑUÑOA,"MOBILIARIO, EQUIPAMIENTO, MATERIAL DIDÁCTICO Y ELEMENTOS DE ENSEÑANZA",1
13122,PEÑALOLÉN,CONVIVENCIA,2
13123,PROVIDENCIA,CONVIVENCIA,6
13123,PROVIDENCIA,ENTREGA DEL SERVICIO EDUCATIVO EN EMERGENCIA SANITARIA POR COVID-2019,1
13124,PUDAHUEL,ADMISIÓN,1
13124,PUDAHUEL,CONVIVENCIA,2
13124,PUDAHUEL,ENTREGA DEL SERVICIO EDUCATIVO EN EMERGENCIA SANITARIA POR COVID-2019,1
13125,QUILICURA,CONVIVENCIA,1
13125,QUILICURA,ENTREGA DEL SERVICIO EDUCATIVO EN EMERGENCIA SANITARIA POR COVID-2019,1
13125,QUILICURA,GESTIÓN DE RECURSOS FINANCIEROS,1
13125,QUILICURA,"MOBILIARIO, EQUIPAMIENTO, MATERIAL DIDÁCTICO Y ELEMENTOS DE ENSEÑANZA",1
13126,QUINTA NORMAL,ADMISIÓN,4
13126,QUINTA NORMAL,CONVIVENCIA,3
13127,RECOLETA,CONVIVENCIA,3
13127,RECOLETA,GESTIÓN DE RECURSOS FINANCIEROS,1
13128,RENCA,ADMISIÓN,1
13128,RENCA,GESTIÓN TÉCNICO-ADMINISTRATIVA,2
13129,SAN JOAQUÍN,CONVIVENCIA,1
13129,SAN JOAQUÍN,INFRAESTRUCTURA,1
13130,SAN MIGUEL,CONVIVENCIA,1
13130,SAN MIGUEL,GESTIÓN DE RECURSOS FINANCIEROS,1
13130,SAN MIGUEL,SEGURIDAD E HIGIENE,1
13132,VITACURA,CONVIVENCIA,2
