codigo_comuna,nombre_comuna,ambito,n_denuncias
0,NA,ADMISIÓN,1
0,NA,CONVIVENCIA,1
1101,IQUIQUE,ADMISIÓN,2
1101,IQUIQUE,CONVIVENCIA,27
1101,IQUIQUE,GESTIÓN TÉCNICO-ADMINISTRATIVA,2
1101,IQUIQUE,GESTIÓN TÉCNICO-PEDAGÓGICA,12
1101,IQUIQUE,SEGURIDAD E HIGIENE,1
1107,ALTO HOSPICIO,ADMISIÓN,1
1107,ALTO HOSPICIO,CONVIVENCIA,20
1107,ALTO HOSPICIO,INFRAESTRUCTURA,1
1401,POZO ALMONTE,CONVIVENCIA,1
2101,ANTOFAGASTA,ADMISIÓN,1
2101,ANTOFAGASTA,CONVIVENCIA,27
2101,ANTOFAGASTA,GESTIÓN TÉCNICO-PEDAGÓGICA,4
2101,ANTOFAGASTA,INFRAESTRUCTURA,1
2101,ANTOFAGASTA,SEGURIDAD E HIGIENE,2
2201,CALAMA,CONVIVENCIA,7
2201,CALAMA,GESTIÓN TÉCNICO-PEDAGÓGICA,1
2201,CALAMA,SEGURIDAD E HIGIENE,1
2203,SAN PEDRO DE ATACAMA,CONVIVENCIA,2
2301,TOCOPILLA,CONVIVENCIA,3
3101,COPIAPÓ,CONVIVENCIA,16
3102,CALDERA,CONVIVENCIA,2
3103,TIERRA AMARILLA,CONVIVENCIA,2
3201,CHAÑARAL,CONVIVENCIA,2
3202,DIEGO DE ALMAGRO,CONVIVENCIA,4
3202,DIEGO DE ALMAGRO,INFRAESTRUCTURA,1
3301,VALLENAR,CONVIVENCIA,6
3303,FREIRINA,CONVIVENCIA,1
4101,LA SERENA,ADMISIÓN,1
4101,LA SERENA,CONVIVENCIA,42
4101,LA SERENA,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
4101,LA SERENA,GESTIÓN TÉCNICO-PEDAGÓGICA,3
4102,COQUIMBO,CONVIVENCIA,18
4102,COQUIMBO,GESTIÓN TÉCNICO-ADMINISTRATIVA,3
4102,COQUIMBO,GESTIÓN TÉCNICO-PEDAGÓGICA,2
4105,PAIGUANO,CONVIVENCIA,2
4201,ILLAPEL,CONVIVENCIA,4
4203,LOS VILOS,CONVIVENCIA,1
4204,SALAMANCA,CONVIVENCIA,1
4301,OVALLE,CONVIVENCIA,15
4301,OVALLE,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
4301,OVALLE,SEGURIDAD E HIGIENE,1
4303,MONTE PATRIA,CONVIVENCIA,2
5101,VALPARAÍSO,CONVIVENCIA,30
5101,VALPARAÍSO,GESTIÓN TÉCNICO-PEDAGÓGICA,3
5101,VALPARAÍSO,SEGURIDAD E HIGIENE,1
5102,CASABLANCA,CONVIVENCIA,10
5103,CONCÓN,CONVIVENCIA,2
5105,PUCHUNCAVÍ,CONVIVENCIA,1
5107,QUINTERO,CONVIVENCIA,4
5109,VIÑA DEL MAR,CONVIVENCIA,41
5109,VIÑA DEL MAR,GESTIÓN DE RECURSOS FINANCIEROS,1
5109,VIÑA DEL MAR,GESTIÓN TÉCNICO-ADMINISTRATIVA,2
5109,VIÑA DEL MAR,GESTIÓN TÉCNICO-PEDAGÓGICA,3
5109,VIÑA DEL MAR,INFRAESTRUCTURA,1
5301,LOS ANDES,CONVIVENCIA,9
5301,LOS ANDES,GESTIÓN DE RECURSOS FINANCIEROS,1
5301,LOS ANDES,GESTIÓN TÉCNICO-ADMINISTRATIVA,1
5301,LOS ANDES,SEGURIDAD E HIGIENE,1
5302,CALLE LARGA,CONVIVENCIA,1
5302,CALLE LARGA,GESTIÓN TÉCNICO-PEDAGÓGICA,1
5401,LA LIGUA,CONVIVENCIA,2
5402,CABILDO,CONVIVENCIA,1
5403,PAPUDO,CONVIVENCIA,1
5405,ZAPALLAR,CONVIVENCIA,1
5501,QUILLOTA,ADMISIÓN,1
5501,QUILLOTA,CONVIVENCIA,4
5502,CALERA,CONVIVENCIA,4
5503,HIJUELAS,CONVIVENCIA,2
5504,LA CRUZ,GESTIÓN TÉCNICO-PEDAGÓGICA,1
5506,NOGALES,CONVIVENCIA,2
5601,SAN ANTONIO,CONVIVENCIA,12
5602,ALGARROBO,CONVIVENCIA,2
5602,ALGARROBO,GESTIÓN TÉCNICO-ADMINISTRATIVA,2
5602,ALGARROBO,GESTIÓN TÉCNICO-PEDAGÓGICA,1
5602,ALGARROBO,INFRAESTRUCTURA,1
5603,CARTAGENA,CONVIVENCIA,1
5701,SAN FELIPE,CONVIVENCIA,16
