"","codigo_comuna","nombre_comuna","TipoEstablecimiento","n_estudiantes","promedio"
"1",1101,"IQUIQUE","Municipal",4824,5.6
"2",1101,"IQUIQUE","Particular Pagado",1510,5.9
"3",1101,"IQUIQUE","Particular Subvencionado",9315,5.5
"4",1107,"ALTO HOSPICIO","Municipal",360,5.2
"5",1107,"ALTO HOSPICIO","Particular Subvencionado",10746,5.6
"6",1401,"POZO ALMONTE","Municipal",1217,5.7
"7",1401,"POZO ALMONTE","Particular Subvencionado",178,5.8
"8",1402,"CAMIÑA","Municipal",126,5.8
"9",1403,"COLCHANE","Municipal",85,5.6
"10",1404,"HUARA","Municipal",229,5.6
"11",1405,"PICA","Municipal",580,5.5
"12",2101,"ANTOFAGASTA","Municipal",13929,5.5
"13",2101,"ANTOFAGASTA","Particular Pagado",3034,6
"14",2101,"ANTOFAGASTA","Particular Subvencionado",10988,5.8
"15",2102,"MEJILLONES","Municipal",1148,5.4
"16",2103,"SIERRA GORDA","Municipal",145,5.9
"17",2104,"TALTAL","Municipal",956,5.5
"18",2201,"CALAMA","Municipal",7838,5.7
"19",2201,"CALAMA","Particular Pagado",1117,5.4
"20",2201,"CALAMA","Particular Subvencionado",5050,5.6
"21",2202,"OLLAGÜE","Municipal",24,6.1
"22",2203,"SAN PEDRO DE ATACAMA","Municipal",719,5.9
"23",2301,"TOCOPILLA","Municipal",1764,5.6
"24",2301,"TOCOPILLA","Particular Subvencionado",388,5.9
"25",2302,"MARÍA ELENA","Municipal",357,5.4
"26",3101,"COPIAPÓ","Particular Pagado",1188,6
"27",3101,"COPIAPÓ","Particular Subvencionado",4236,5.9
"28",3101,"COPIAPÓ","Servicio Local de Educación",7856,5.5
"29",3102,"CALDERA","Particular Subvencionado",667,5.7
"30",3102,"CALDERA","Servicio Local de Educación",837,5.8
"31",3103,"TIERRA AMARILLA","Particular Subvencionado",44,5.4
"32",3103,"TIERRA AMARILLA","Servicio Local de Educación",867,5.4
"33",3201,"CHAÑARAL","Particular Subvencionado",103,5.4
"34",3201,"CHAÑARAL","Servicio Local de Educación",942,5.8
"35",3202,"DIEGO DE ALMAGRO","Particular Subvencionado",623,5.7
"36",3202,"DIEGO DE ALMAGRO","Servicio Local de Educación",569,5.6
"37",3301,"VALLENAR","Particular Pagado",156,4.3
"38",3301,"VALLENAR","Particular Subvencionado",835,5.6
"39",3301,"VALLENAR","Servicio Local de Educación",3288,5.8
"40",3302,"ALTO DEL CARMEN","Servicio Local de Educación",342,5.9
"41",3303,"FREIRINA","Servicio Local de Educación",600,5.9
"42",3304,"HUASCO","Particular Subvencionado",145,5.5
"43",3304,"HUASCO","Servicio Local de Educación",727,5.7
"44",4101,"LA SERENA","Municipal",5168,5.5
"45",4101,"LA SERENA","Particular Pagado",3706,5.8
"46",4101,"LA SERENA","Particular Subvencionado",11896,5.7
"47",4102,"COQUIMBO","Particular Pagado",843,5.6
"48",4102,"COQUIMBO","Particular Subvencionado",11685,5.7
"49",4102,"COQUIMBO","Servicio Local de Educación",4735,5.6
"50",4103,"ANDACOLLO","Particular Subvencionado",468,6.1
"51",4103,"ANDACOLLO","Servicio Local de Educación",379,6
"52",4104,"LA HIGUERA","Municipal",358,5.4
"53",4105,"PAIGUANO","Municipal",330,5.9
"54",4106,"VICUÑA","Municipal",1124,5.7
"55",4106,"VICUÑA","Particular Subvencionado",1093,5.7
"56",4201,"ILLAPEL","Municipal",1383,5.9
"57",4201,"ILLAPEL","Particular Subvencionado",1004,5.8
"58",4202,"CANELA","Municipal",557,5.8
"59",4202,"CANELA","Particular Subvencionado",5,6
"60",4203,"LOS VILOS","Municipal",848,5.5
"61",4203,"LOS VILOS","Particular Subvencionado",861,5.6
"62",4204,"SALAMANCA","Municipal",863,5.7
"63",4204,"SALAMANCA","Particular Subvencionado",1288,5.5
"64",4301,"OVALLE","Municipal",5178,5.6
"65",4301,"OVALLE","Particular Pagado",472,6.2
"66",4301,"OVALLE","Particular Subvencionado",3602,5.6
"67",4302,"COMBARBALÁ","Municipal",683,6
"68",4302,"COMBARBALÁ","Particular Subvencionado",155,5.7
"69",4303,"MONTE PATRIA","Municipal",2074,5.9
"70",4303,"MONTE PATRIA","Particular Subvencionado",317,5.9
"71",4304,"PUNITAQUI","Municipal",418,5.7
"72",4304,"PUNITAQUI","Particular Subvencionado",459,6.2
"73",4305,"RÍO HURTADO","Municipal",265,5.6
"74",5101,"VALPARAÍSO","Particular Pagado",1683,5.9
"75",5101,"VALPARAÍSO","Particular Subvencionado",11071,5.7
"76",5101,"VALPARAÍSO","Servicio Local de Educación",5536,5.5
"77",5102,"CASABLANCA","Municipal",720,5.7
"78",5102,"CASABLANCA","Particular Pagado",64,6.1
"79",5102,"CASABLANCA","Particular Subvencionado",1299,5.8
"80",5103,"CONCÓN","Municipal",651,5.6
"81",5103,"CONCÓN","Particular Pagado",1017,6.2
"82",5103,"CONCÓN","Particular Subvencionado",1615,5.8
"83",5104,"JUAN FERNÁNDEZ","Servicio Local de Educación",86,5.1
"84",5105,"PUCHUNCAVÍ","Municipal",1152,5.5
"85",5105,"PUCHUNCAVÍ","Particular Subvencionado",145,5.9
"86",5107,"QUINTERO","Municipal",882,5.1
"87",5107,"QUINTERO","Particular Subvencionado",1432,5.5
"88",5109,"VIÑA DEL MAR","Municipal",5462,5.5
"89",5109,"VIÑA DEL MAR","Particular Pagado",4179,5.9
"90",5109,"VIÑA DEL MAR","Particular Subvencionado",11462,5.7
"91",5201,"ISLA DE PASCUA","Municipal",333,5.9
"92",5201,"ISLA DE PASCUA","Particular Subvencionado",270,5.8
"93",5301,"LOS ANDES","Municipal",1508,5.6
"94",5301,"LOS ANDES","Particular Pagado",882,5.7
"95",5301,"LOS ANDES","Particular Subvencionado",3360,5.9
"96",5302,"CALLE LARGA","Municipal",547,5.6
"97",5302,"CALLE LARGA","Particular Pagado",145,5.4
"98",5302,"CALLE LARGA","Particular Subvencionado",488,6
"99",5303,"RINCONADA","Municipal",426,5.8
"100",5303,"RINCONADA","Particular Subvencionado",194,5.9
"101",5304,"SAN ESTEBAN","Municipal",801,5.8
"102",5401,"LA LIGUA","Municipal",1245,5.6
"103",5401,"LA LIGUA","Particular Pagado",77,6.3
"104",5401,"LA LIGUA","Particular Subvencionado",1323,5.8
"105",5402,"CABILDO","Municipal",1002,5.7
"106",5402,"CABILDO","Particular Subvencionado",401,5.6
"107",5403,"PAPUDO","Municipal",256,5.8
"108",5403,"PAPUDO","Particular Subvencionado",119,5.9
"109",5404,"PETORCA","Municipal",400,5.7
"110",5404,"PETORCA","Particular Subvencionado",261,6
"111",5405,"ZAPALLAR","Municipal",527,5.6
"112",5405,"ZAPALLAR","Particular Subvencionado",174,6.2
"113",5501,"QUILLOTA","Municipal",2272,5.5
"114",5501,"QUILLOTA","Particular Pagado",1348,5.5
"115",5501,"QUILLOTA","Particular Subvencionado",3920,5.6
"116",5502,"CALERA","Municipal",846,5.6
"117",5502,"CALERA","Particular Pagado",209,6.3
"118",5502,"CALERA","Particular Subvencionado",3363,5.6
"119",5503,"HIJUELAS","Municipal",623,5.8
"120",5503,"HIJUELAS","Particular Subvencionado",488,5.5
"121",5504,"LA CRUZ","Municipal",438,5.4
"122",5504,"LA CRUZ","Particular Subvencionado",292,4.9
"123",5506,"NOGALES","Municipal",608,5.3
"124",5506,"NOGALES","Particular Subvencionado",721,6
"125",5601,"SAN ANTONIO","Municipal",2308,5.5
"126",5601,"SAN ANTONIO","Particular Subvencionado",4666,5.4
"127",5602,"ALGARROBO","Municipal",495,5.6
"128",5602,"ALGARROBO","Particular Subvencionado",557,5.4
"129",5603,"CARTAGENA","Municipal",989,5.5
"130",5603,"CARTAGENA","Particular Subvencionado",841,5.4
"131",5604,"EL QUISCO","Municipal",612,5.1
"132",5604,"EL QUISCO","Particular Subvencionado",345,5.8
"133",5605,"EL TABO","Municipal",482,5.6
"134",5606,"SANTO DOMINGO","Municipal",582,5.5
"135",5606,"SANTO DOMINGO","Particular Subvencionado",436,5.8
"136",5701,"SAN FELIPE","Municipal",2761,5.6
"137",5701,"SAN FELIPE","Particular Pagado",601,6.2
"138",5701,"SAN FELIPE","Particular Subvencionado",2758,5.8
"139",5702,"CATEMU","Municipal",691,5.5
"140",5702,"CATEMU","Particular Subvencionado",191,5.5
"141",5703,"LLAILLAY","Municipal",1052,5.6
"142",5703,"LLAILLAY","Particular Subvencionado",1184,5.8
"143",5704,"PANQUEHUE","Municipal",417,5.3
"144",5704,"PANQUEHUE","Particular Pagado",190,6
"145",5705,"PUTAENDO","Municipal",568,5.8
"146",5705,"PUTAENDO","Particular Subvencionado",472,6
"147",5706,"SANTA MARÍA","Municipal",438,5.4
"148",5706,"SANTA MARÍA","Particular Subvencionado",542,6.1
"149",5801,"QUILPUÉ","Municipal",2032,5.3
"150",5801,"QUILPUÉ","Particular Pagado",474,6
"151",5801,"QUILPUÉ","Particular Subvencionado",8617,5.6
"152",5802,"LIMACHE","Municipal",1368,5.6
"153",5802,"LIMACHE","Particular Subvencionado",2069,5.5
"154",5803,"OLMUÉ","Municipal",644,5.4
"155",5803,"OLMUÉ","Particular Subvencionado",314,5.2
"156",5804,"VILLA ALEMANA","Municipal",1971,5.8
"157",5804,"VILLA ALEMANA","Particular Pagado",942,5.6
"158",5804,"VILLA ALEMANA","Particular Subvencionado",5834,5.6
"159",6101,"RANCAGUA","Municipal",6252,5.6
"160",6101,"RANCAGUA","Particular Pagado",2127,5.9
"161",6101,"RANCAGUA","Particular Subvencionado",10376,5.8
"162",6102,"CODEGUA","Municipal",615,5.6
"163",6102,"CODEGUA","Particular Subvencionado",56,5.1
"164",6103,"COINCO","Municipal",338,5.5
"165",6103,"COINCO","Particular Subvencionado",102,5.8
"166",6104,"COLTAUCO","Municipal",922,5.7
"167",6104,"COLTAUCO","Particular Subvencionado",456,5.6
