"","codigo_comuna","nombre_comuna","Tipo de zona","n_estudiantes","promedio"
"1",1101,"IQUIQUE","Rural",313,4.6
"2",1101,"IQUIQUE","Urbano",15388,4.9
"3",1107,"ALTO HOSPICIO","Rural",2617,5.2
"4",1107,"ALTO HOSPICIO","Urbano",8337,5.2
"5",1401,"POZO ALMONTE","Rural",1374,4.9
"6",1402,"CAMIÑA","Rural",117,5.8
"7",1403,"COLCHANE","Rural",64,5.4
"8",1404,"HUARA","Rural",240,5.6
"9",1405,"PICA","Rural",539,5.5
"10",2101,"ANTOFAGASTA","Urbano",28349,5.3
"11",2102,"MEJILLONES","Rural",21,4.9
"12",2102,"MEJILLONES","Urbano",1129,4.3
"13",2103,"SIERRA GORDA","Urbano",142,5.7
"14",2104,"TALTAL","Rural",29,5.3
"15",2104,"TALTAL","Urbano",890,4.7
"16",2201,"CALAMA","Rural",82,5
"17",2201,"CALAMA","Urbano",13977,5.3
"18",2202,"OLLAGÜE","Rural",24,5.6
"19",2203,"SAN PEDRO DE ATACAMA","Rural",157,5.7
"20",2203,"SAN PEDRO DE ATACAMA","Urbano",569,5.9
"21",2301,"TOCOPILLA","Urbano",2102,5.2
"22",2302,"MARÍA ELENA","Rural",26,4.1
"23",2302,"MARÍA ELENA","Urbano",318,5.2
"24",3101,"COPIAPÓ","Rural",132,5.1
"25",3101,"COPIAPÓ","Urbano",13338,5
"26",3102,"CALDERA","Rural",15,4.3
"27",3102,"CALDERA","Urbano",1144,5.3
"28",3103,"TIERRA AMARILLA","Rural",109,4.4
"29",3103,"TIERRA AMARILLA","Urbano",1158,4.6
"30",3201,"CHAÑARAL","Urbano",1108,5.3
"31",3202,"DIEGO DE ALMAGRO","Rural",27,5.5
"32",3202,"DIEGO DE ALMAGRO","Urbano",1196,4.3
"33",3301,"VALLENAR","Rural",152,4.8
"34",3301,"VALLENAR","Urbano",4107,5.2
"35",3302,"ALTO DEL CARMEN","Rural",338,5.6
"36",3303,"FREIRINA","Rural",99,5.6
"37",3303,"FREIRINA","Urbano",470,4.6
"38",3304,"HUASCO","Rural",29,4.7
"39",3304,"HUASCO","Urbano",829,4.8
"40",4101,"LA SERENA","Rural",961,5
"41",4101,"LA SERENA","Urbano",19630,5.2
"42",4102,"COQUIMBO","Rural",661,4.9
"43",4102,"COQUIMBO","Urbano",16540,5.1
"44",4103,"ANDACOLLO","Rural",190,5.2
"45",4103,"ANDACOLLO","Urbano",700,5.2
"46",4104,"LA HIGUERA","Rural",223,4.8
"47",4104,"LA HIGUERA","Urbano",137,5.1
"48",4105,"PAIGUANO","Rural",160,5.6
"49",4105,"PAIGUANO","Urbano",171,5.1
"50",4106,"VICUÑA","Rural",199,5.6
"51",4106,"VICUÑA","Urbano",1989,4.9
"52",4201,"ILLAPEL","Rural",590,5.3
"53",4201,"ILLAPEL","Urbano",1792,4.7
"54",4202,"CANELA","Rural",242,4.9
"55",4202,"CANELA","Urbano",316,5.5
"56",4203,"LOS VILOS","Rural",407,5.5
"57",4203,"LOS VILOS","Urbano",1311,3.5
"58",4204,"SALAMANCA","Rural",575,5.1
"59",4204,"SALAMANCA","Urbano",1585,5.5
"60",4301,"OVALLE","Rural",1367,5.3
"61",4301,"OVALLE","Urbano",7910,5.1
"62",4302,"COMBARBALÁ","Rural",348,4.7
"63",4302,"COMBARBALÁ","Urbano",505,4.1
"64",4303,"MONTE PATRIA","Rural",972,5.5
"65",4303,"MONTE PATRIA","Urbano",1374,4.9
"66",4304,"PUNITAQUI","Rural",206,5.2
"67",4304,"PUNITAQUI","Urbano",644,5.9
"68",4305,"RÍO HURTADO","Rural",258,5
"69",5101,"VALPARAÍSO","Urbano",18328,4.9
"70",5102,"CASABLANCA","Urbano",2038,5.1
"71",5103,"CONCÓN","Urbano",3245,5.1
"72",5104,"JUAN FERNÁNDEZ","Rural",83,6
"73",5105,"PUCHUNCAVÍ","Rural",337,4.8
"74",5105,"PUCHUNCAVÍ","Urbano",887,4.5
"75",5107,"QUINTERO","Rural",138,5
"76",5107,"QUINTERO","Urbano",2192,5.1
"77",5109,"VIÑA DEL MAR","Urbano",21238,5
"78",5201,"ISLA DE PASCUA","Urbano",599,5.7
"79",5301,"LOS ANDES","Rural",58,4.8
"80",5301,"LOS ANDES","Urbano",5662,5.1
"81",5302,"CALLE LARGA","Rural",138,5.6
"82",5302,"CALLE LARGA","Urbano",960,5.6
"83",5303,"RINCONADA","Urbano",692,5.2
"84",5304,"SAN ESTEBAN","Rural",159,5
"85",5304,"SAN ESTEBAN","Urbano",613,4.9
"86",5401,"LA LIGUA","Rural",568,4.5
"87",5401,"LA LIGUA","Urbano",2029,5.1
"88",5402,"CABILDO","Rural",370,4.3
"89",5402,"CABILDO","Urbano",1072,5
"90",5403,"PAPUDO","Rural",94,4.2
"91",5403,"PAPUDO","Urbano",239,5.4
"92",5404,"PETORCA","Rural",386,5.1
