"","codigo_comuna","nombre_comuna","SituacionFinal","n_estudiantes"
"1",1101,"IQUIQUE","Promovido",15453
"2",1101,"IQUIQUE","Reprobado",196
"3",1101,"IQUIQUE","Retirado",552
"4",1107,"ALTO HOSPICIO","Promovido",10857
"5",1107,"ALTO HOSPICIO","Reprobado",249
"6",1107,"ALTO HOSPICIO","Retirado",390
"7",1401,"POZO ALMONTE","Promovido",1380
"8",1401,"POZO ALMONTE","Reprobado",15
"9",1401,"POZO ALMONTE","Retirado",54
"10",1402,"CAMIÑA","Promovido",126
"11",1402,"CAMIÑA","Retirado",5
"12",1403,"COLCHANE","Promovido",83
"13",1403,"COLCHANE","Reprobado",2
"14",1403,"COLCHANE","Retirado",8
"15",1404,"HUARA","Promovido",229
"16",1404,"HUARA","Retirado",19
"17",1405,"PICA","Promovido",563
"18",1405,"PICA","Reprobado",17
"19",1405,"PICA","Retirado",22
"20",2101,"ANTOFAGASTA","Promovido",27269
"21",2101,"ANTOFAGASTA","Reprobado",682
"22",2101,"ANTOFAGASTA","Retirado",877
"23",2102,"MEJILLONES","Promovido",1115
"24",2102,"MEJILLONES","Reprobado",33
"25",2102,"MEJILLONES","Retirado",27
"26",2103,"SIERRA GORDA","Promovido",143
"27",2103,"SIERRA GORDA","Reprobado",2
"28",2103,"SIERRA GORDA","Retirado",4
"29",2104,"TALTAL","Promovido",956
"30",2104,"TALTAL","Retirado",17
"31",2201,"CALAMA","Promovido",13913
"32",2201,"CALAMA","Reprobado",92
"33",2201,"CALAMA","Retirado",375
"34",2202,"OLLAGÜE","Promovido",24
"35",2203,"SAN PEDRO DE ATACAMA","Promovido",712
"36",2203,"SAN PEDRO DE ATACAMA","Reprobado",7
"37",2203,"SAN PEDRO DE ATACAMA","Retirado",43
"38",2301,"TOCOPILLA","Promovido",2110
"39",2301,"TOCOPILLA","Reprobado",42
"40",2301,"TOCOPILLA","Retirado",50
"41",2302,"MARÍA ELENA","Promovido",354
"42",2302,"MARÍA ELENA","Reprobado",3
"43",2302,"MARÍA ELENA","Retirado",14
"44",3101,"COPIAPÓ","Promovido",13036
"45",3101,"COPIAPÓ","Reprobado",244
"46",3101,"COPIAPÓ","Retirado",496
"47",3102,"CALDERA","Promovido",1486
"48",3102,"CALDERA","Reprobado",18
"49",3102,"CALDERA","Retirado",47
"50",3103,"TIERRA AMARILLA","Promovido",863
"51",3103,"TIERRA AMARILLA","Reprobado",48
"52",3103,"TIERRA AMARILLA","Retirado",38
"53",3201,"CHAÑARAL","Promovido",1033
"54",3201,"CHAÑARAL","Reprobado",12
"55",3201,"CHAÑARAL","Retirado",29
"56",3202,"DIEGO DE ALMAGRO","Promovido",1184
"57",3202,"DIEGO DE ALMAGRO","Reprobado",8
"58",3202,"DIEGO DE ALMAGRO","Retirado",57
"59",3301,"VALLENAR","Promovido",4243
"60",3301,"VALLENAR","Reprobado",36
"61",3301,"VALLENAR","Retirado",95
"62",3302,"ALTO DEL CARMEN","Promovido",332
"63",3302,"ALTO DEL CARMEN","Reprobado",10
"64",3302,"ALTO DEL CARMEN","Retirado",30
"65",3303,"FREIRINA","Promovido",593
"66",3303,"FREIRINA","Reprobado",7
"67",3303,"FREIRINA","Retirado",24
"68",3304,"HUASCO","Promovido",869
"69",3304,"HUASCO","Reprobado",3
