codigo_comuna,nombre_comuna,SituacionFinal,n_estudiantes
13101,SANTIAGO,Promovido,22199
13101,SANTIAGO,Reprobado,308
13101,SANTIAGO,Retirado,1840
13102,CERRILLOS,Promovido,4693
13102,CERRILLOS,Reprobado,105
13102,CERRILLOS,Retirado,400
13103,CERRO NAVIA,Promovido,7192
13103,CERRO NAVIA,Reprobado,178
13103,CERRO NAVIA,Retirado,701
13104,CONCHALÍ,Promovido,9206
13104,CONCHALÍ,Reprobado,298
13104,CONCHALÍ,Retirado,840
13105,EL BOSQUE,Promovido,13837
13105,EL BOSQUE,Reprobado,394
13105,EL BOSQUE,Retirado,1385
13106,ESTACIÓN CENTRAL,Promovido,9920
13106,ESTACIÓN CENTRAL,Reprobado,267
13106,ESTACIÓN CENTRAL,Retirado,978
13107,HUECHURABA,Promovido,5957
13107,HUECHURABA,Reprobado,121
13107,HUECHURABA,Retirado,318
13108,INDEPENDENCIA,Promovido,7350
13108,INDEPENDENCIA,Reprobado,104
13108,INDEPENDENCIA,Retirado,1248
13109,LA CISTERNA,Promovido,8602
13109,LA CISTERNA,Reprobado,124
13109,LA CISTERNA,Retirado,670
13110,LA FLORIDA,Promovido,28382
13110,LA FLORIDA,Reprobado,569
13110,LA FLORIDA,Retirado,2755
13111,LA GRANJA,Promovido,7704
13111,LA GRANJA,Reprobado,188
13111,LA GRANJA,Retirado,1030
13112,LA PINTANA,Promovido,13098
13112,LA PINTANA,Reprobado,544
13112,LA PINTANA,Retirado,1748
13113,LA REINA,Promovido,8717
13113,LA REINA,Reprobado,163
13113,LA REINA,Retirado,578
13114,LAS CONDES,Promovido,14065
13114,LAS CONDES,Reprobado,111
13114,LAS CONDES,Retirado,689
13114,LAS CONDES,NA,44
13115,LO BARNECHEA,Promovido,8093
13115,LO BARNECHEA,Reprobado,63
13115,LO BARNECHEA,Retirado,168
13116,LO ESPEJO,Promovido,4825
13116,LO ESPEJO,Reprobado,194
13116,LO ESPEJO,Retirado,533
13117,LO PRADO,Promovido,5307
13117,LO PRADO,Reprobado,145
13117,LO PRADO,Retirado,514
13118,MACUL,Promovido,6301
13118,MACUL,Reprobado,124
13118,MACUL,Retirado,573
13119,MAIPÚ,Promovido,34570
13119,MAIPÚ,Reprobado,602
13119,MAIPÚ,Retirado,2828
13120,ÑUÑOA,Promovido,11915
13120,ÑUÑOA,Reprobado,129
13120,ÑUÑOA,Retirado,930
13121,PEDRO AGUIRRE CERDA,Promovido,6905
13121,PEDRO AGUIRRE CERDA,Reprobado,156
13121,PEDRO AGUIRRE CERDA,Retirado,647
13122,PEÑALOLÉN,Promovido,14575
13122,PEÑALOLÉN,Reprobado,306
13122,PEÑALOLÉN,Retirado,1351
13123,PROVIDENCIA,Promovido,9389
13123,PROVIDENCIA,Reprobado,52
13123,PROVIDENCIA,Retirado,1704
13123,PROVIDENCIA,NA,2
13124,PUDAHUEL,Promovido,13490
13124,PUDAHUEL,Reprobado,244
13124,PUDAHUEL,Retirado,1299
13125,QUILICURA,Promovido,16021
13125,QUILICURA,Reprobado,386
13125,QUILICURA,Retirado,1144
13126,QUINTA NORMAL,Promovido,9936
13126,QUINTA NORMAL,Reprobado,226
13126,QUINTA NORMAL,Retirado,866
13127,RECOLETA,Promovido,12116
13127,RECOLETA,Reprobado,215
13127,RECOLETA,Retirado,1109
13128,RENCA,Promovido,9652
13128,RENCA,Reprobado,221
13128,RENCA,Retirado,1240
13129,SAN JOAQUÍN,Promovido,4427
13129,SAN JOAQUÍN,Reprobado,136
13129,SAN JOAQUÍN,Retirado,504
13130,SAN MIGUEL,Promovido,8002
13130,SAN MIGUEL,Reprobado,104
13130,SAN MIGUEL,Retirado,780
13131,SAN RAMÓN,Promovido,5317
13131,SAN RAMÓN,Reprobado,142
13131,SAN RAMÓN,Retirado,599
13131,SAN RAMÓN,NA,148
13132,VITACURA,Promovido,7779
13132,VITACURA,Reprobado,40
13132,VITACURA,Retirado,242
